replication_id,method,regret_cny_per_month,abs_q99_relative_error,abs_mean_relative_error,abs_stoploss_relative_error,mode_value_gap_ratio
46,TAIL,8640.187648798132,0.0557400963281132,0.0206944329204956,0.0692622402508526,10.23848183612158
47,EMP,3557.6509988614253,0.0316532085540176,0.0003718555896561,0.1154090110399487,7.814990935881884
47,KDE,9482.918614325215,0.0154605959829744,0.0019457391991134,0.1043074968434649,6.524564930179178
47,TAIL,9482.918614325215,0.0384491880538399,0.0077425635243743,0.096588946243012,6.64496109519283
48,EMP,58821.18442661874,0.2191243482953043,0.046650716889106,0.1826184785090599,23.08024188660504
48,KDE,56370.65456274649,0.1773531675279522,0.0496525797422733,0.2706466807609861,24.565400644748244
48,TAIL,13894.323483838183,0.0404543306018096,0.0341355181854295,0.1573310540845962,16.888401061813045
49,EMP,107900.68961910128,0.2106793390994368,0.0977084364284414,0.6583922776214349,58.699979440940496
49,KDE,104150.83627723456,0.178765760598456,0.0980769343528206,0.6200177875573665,53.96122489406777
49,TAIL,86969.72994173494,0.2255045800982984,0.0775619569476755,0.6497447195261642,46.81794456410353
50,EMP,14268.123601725323,0.4965924580433901,0.0584824448682698,1.0122463566351003,66.97710009781196
50,KDE,14268.123601725323,0.5886419343547014,0.0582112519638294,1.464822333431847,97.81062851894006
50,TAIL,14268.123601725323,0.2125555358647443,0.0580592606440346,0.6195862059924363,41.386282914736654
51,EMP,14268.123601725323,0.0909992911190701,0.045268192597778,0.4056909190386177,29.4594109952144
51,KDE,14268.123601725323,0.0188055024252178,0.0425103782125137,0.5917697955178123,39.956597345670936
51,TAIL,14268.123601725323,0.0804686188520938,0.0530018243059903,0.4493745096847864,29.968955586115108
52,EMP,103245.63213281964,0.2786880342708415,0.0747301979495671,0.6760377673721545,49.71009724218017
52,KDE,82247.58201458605,0.2517327015817697,0.0750897911453197,0.6233166076546603,44.23700686139952
52,TAIL,119013.1172336014,0.3029071571035751,0.1141523265256018,0.8358956797872114,66.80580450117412
53,EMP,13894.323483838183,0.1358679369793763,0.0179012354861443,0.1318075046445216,9.047526897556986
53,KDE,14268.123601725323,0.0630060136414704,0.0168294947755887,0.3227729438666061,21.784192588841577
53,TAIL,2949.477479169973,0.0594996128707307,0.0030588506851733,0.0749846758011567,5.033972285694237
54,EMP,28245.75461791425,0.1965061465080331,0.0335041128920415,0.0834412773699786,16.576016003840206
54,KDE,28245.75461791425,0.1338132191703732,0.0346585629300687,0.0439058638801783,17.147175203537117
