replication_id,oracle_region,baseline_method,tail_minus_baseline_regret_cny_per_month
27,Actual-demand,EMP,0.0
28,Actual-demand,EMP,-2243.839408546066
29,Actual-demand,EMP,0.0
30,Actual-demand,EMP,0.0
31,Actual-demand,EMP,0.0
32,Actual-demand,EMP,0.0
33,Actual-demand,EMP,0.0
34,Actual-demand,EMP,-2243.839408546066
35,Actual-demand,EMP,0.0
36,Actual-demand,EMP,0.0
37,Actual-demand,EMP,-14355.614962200323
38,Actual-demand,EMP,12111.775553654255
39,Actual-demand,EMP,0.0
40,Actual-demand,EMP,0.0
41,Actual-demand,EMP,0.0
42,Actual-demand,EMP,-2243.839408546065
43,Actual-demand,EMP,0.0
44,Actual-demand,EMP,0.0
45,Actual-demand,EMP,-2243.839408546066
46,Actual-demand,EMP,0.0
47,Actual-demand,EMP,-2243.839408546065
48,Actual-demand,EMP,-117952.7955850698
49,Actual-demand,EMP,2243.839408546065
50,Actual-demand,EMP,0.0
51,Actual-demand,EMP,0.0
52,Actual-demand,EMP,-2243.839408546065
53,Actual-demand,EMP,-16599.45437074639
54,Actual-demand,EMP,16599.45437074639
55,Actual-demand,EMP,0.0
56,Actual-demand,EMP,0.0
57,Actual-demand,EMP,-14355.614962200323
58,Actual-demand,EMP,0.0
59,Actual-demand,EMP,0.0
60,Actual-demand,EMP,0.0
61,Actual-demand,EMP,-3350.1616410979386
62,Actual-demand,EMP,-9694.16227291338
63,Actual-demand,EMP,0.0
64,Actual-demand,EMP,12111.775553654255
65,Actual-demand,EMP,2243.839408546065
66,Actual-demand,EMP,-2243.839408546065
67,Actual-demand,EMP,0.0
68,Actual-demand,EMP,-108977.92692109756
69,Actual-demand,EMP,0.0
70,Actual-demand,EMP,0.0
71,Actual-demand,EMP,-2243.839408546065
72,Actual-demand,EMP,0.0
73,Actual-demand,EMP,-2243.839408546065
74,Actual-demand,EMP,0.0
75,Actual-demand,EMP,0.0
76,Actual-demand,EMP,-2243.839408546065
77,Actual-demand,EMP,-2243.839408546066
78,Actual-demand,EMP,2243.839408546065
79,Actual-demand,EMP,0.0
80,Actual-demand,EMP,-2243.839408546065
81,Actual-demand,EMP,-12111.775553654255
82,Actual-demand,EMP,2243.839408546065
83,Actual-demand,EMP,-14355.614962200323
84,Actual-demand,EMP,-12111.775553654255
85,Actual-demand,EMP,14355.614962200323
86,Actual-demand,EMP,-14355.614962200323
87,Actual-demand,EMP,0.0
88,Actual-demand,EMP,0.0
89,Actual-demand,EMP,0.0
90,Actual-demand,EMP,0.0
91,Actual-demand,EMP,0.0
92,Actual-demand,EMP,0.0
93,Actual-demand,EMP,-2243.839408546065
94,Actual-demand,EMP,14355.614962200323
95,Actual-demand,EMP,-9018.036634839142
96,Actual-demand,EMP,0.0
97,Actual-demand,EMP,0.0
98,Actual-demand,EMP,0.0
99,Actual-demand,EMP,0.0
100,Actual-demand,EMP,0.0
101,Actual-demand,EMP,-2243.839408546065
102,Actual-demand,EMP,2243.839408546065
103,Actual-demand,EMP,0.0
104,Actual-demand,EMP,0.0
105,Actual-demand,EMP,0.0
106,Actual-demand,EMP,0.0
107,Actual-demand,EMP,0.0
108,Actual-demand,EMP,-16599.45437074639
109,Actual-demand,EMP,0.0
110,Actual-demand,EMP,-14355.614962200323
111,Actual-demand,EMP,0.0
112,Actual-demand,EMP,2243.839408546066
113,Actual-demand,EMP,-14355.614962200323
114,Actual-demand,EMP,-131573.48617863003
115,Actual-demand,EMP,0.0
116,Actual-demand,EMP,14355.614962200323
117,Actual-demand,EMP,0.0
118,Actual-demand,EMP,0.0
119,Actual-demand,EMP,0.0
120,Actual-demand,EMP,0.0
121,Actual-demand,EMP,0.0
122,Actual-demand,EMP,0.0
123,Actual-demand,EMP,0.0
124,Actual-demand,EMP,0.0
125,Actual-demand,EMP,14355.614962200323
126,Actual-demand,EMP,0.0
127,Actual-demand,EMP,2243.839408546066
128,Actual-demand,EMP,0.0
129,Actual-demand,EMP,-14355.614962200323
130,Actual-demand,EMP,-2243.839408546066
131,Actual-demand,EMP,0.0
132,Actual-demand,EMP,-14355.614962200323
133,Actual-demand,EMP,0.0
134,Actual-demand,EMP,-2243.839408546066
135,Actual-demand,EMP,-2243.839408546066
136,Actual-demand,EMP,0.0
137,Actual-demand,EMP,0.0
138,Actual-demand,EMP,0.0
139,Actual-demand,EMP,0.0
140,Actual-demand,EMP,0.0
141,Actual-demand,EMP,-2243.839408546065
142,Actual-demand,EMP,0.0
143,Actual-demand,EMP,2243.839408546066
144,Actual-demand,EMP,0.0
145,Actual-demand,EMP,14355.614962200323
146,Actual-demand,EMP,0.0
147,Actual-demand,EMP,-2243.839408546065
148,Actual-demand,EMP,-5292.2276084860805
149,Actual-demand,EMP,0.0
150,Actual-demand,EMP,0.0
151,Actual-demand,EMP,0.0
152,Actual-demand,EMP,0.0
153,Actual-demand,EMP,0.0
154,Actual-demand,EMP,0.0
155,Actual-demand,EMP,-2243.839408546066
156,Actual-demand,EMP,0.0
157,Actual-demand,EMP,0.0
158,Actual-demand,EMP,2243.839408546065
159,Actual-demand,EMP,0.0
160,Actual-demand,EMP,-2243.839408546065
161,Actual-demand,EMP,-14355.614962200323
162,Actual-demand,EMP,0.0
163,Actual-demand,EMP,-2243.839408546066
164,Actual-demand,EMP,0.0
165,Actual-demand,EMP,0.0
166,Actual-demand,EMP,0.0
167,Actual-demand,EMP,0.0
168,Actual-demand,EMP,0.0
