replication_id,method,absolute_relative_q99_error_pct
81,TAIL,15.53997114298136
82,EMP,25.76467908001122
82,KDE,22.23016721738608
82,TAIL,16.68925828363642
83,EMP,9.12584769412235
83,KDE,15.015479820503892
83,TAIL,17.25607557999923
84,EMP,0.71360168995217
84,KDE,8.37584103904776
84,TAIL,5.18792449212593
85,EMP,22.66433707321971
85,KDE,16.08687370549805
85,TAIL,0.26519402887545
86,EMP,28.858582469911497
86,KDE,36.663847459480095
86,TAIL,3.7599953731022
87,EMP,14.30119080216214
87,KDE,20.86580783164967
87,TAIL,7.48329577840861
88,EMP,15.914591527613432
88,KDE,12.376684356263173
88,TAIL,7.66186817321196
89,EMP,6.6264791843893
89,KDE,2.02652322528534
89,TAIL,2.9565408499587003
90,EMP,9.13471102575842
90,KDE,5.55724003580792
90,TAIL,8.59804746450218
91,EMP,29.94804016515552
91,KDE,24.90556458496339
91,TAIL,15.117085686158878
92,EMP,11.400253643118653
92,KDE,7.77117378617732
92,TAIL,23.50122598233749
93,EMP,35.42320364059104
93,KDE,32.54000293886068
93,TAIL,22.33758107110638
94,EMP,21.83132836550904
94,KDE,27.93545569187213
94,TAIL,8.256257512341419
95,EMP,5.71846753582564
95,KDE,1.0839137384298
95,TAIL,19.96691621872873
96,EMP,11.48837868415656
96,KDE,1.34623961475978
96,TAIL,29.543846342242
97,EMP,25.77299159170799
97,KDE,20.01457935178562
97,TAIL,7.50014599065493
98,EMP,45.60490153944744
98,KDE,58.48365095002882
98,TAIL,42.53742185245084
99,EMP,25.67974848210951
99,KDE,20.44733489742134
99,TAIL,3.7657545255470097
100,EMP,19.55181621826087
100,KDE,15.316544253198968
100,TAIL,5.11540828478013
101,EMP,19.72376109458556
101,KDE,16.00031972955396
101,TAIL,2.0395326042585302
102,EMP,0.36754835506634
102,KDE,3.59323169978767
102,TAIL,10.213246906414671
103,EMP,3.3204610866231903
103,KDE,9.291799932381087
103,TAIL,35.74026143843384
104,EMP,18.65353347727611
104,KDE,14.885593348260558
104,TAIL,15.6879188898301
105,EMP,30.550864129402527
105,KDE,27.08170332448658
105,TAIL,14.36588170377514
106,EMP,25.30719197233629
106,KDE,20.432918292887862
106,TAIL,13.5269471778007
107,EMP,23.34904361734057
107,KDE,19.466015245089928
107,TAIL,17.04949429821937
108,EMP,20.69825306564496
108,KDE,15.278120298675647
108,TAIL,2.30500513560236
109,EMP,20.75829751873038
109,KDE,16.54893252863717
109,TAIL,12.74417428173269
110,EMP,12.66826617906931
110,KDE,5.19063535509059
110,TAIL,1.7390228801136502
111,EMP,26.515035849029427
111,KDE,21.73576717648675
111,TAIL,4.650860142578099
112,EMP,17.393192254425628
112,KDE,22.97863720779572
112,TAIL,3.1936139812702
113,EMP,24.20037618029601
113,KDE,21.26331905192101
113,TAIL,22.28556476454101
114,EMP,17.26467900472354
114,KDE,13.1078485318696
114,TAIL,0.49367898186282
115,EMP,4.90498446473399
115,KDE,10.00762769087166
115,TAIL,9.09693981641142
116,EMP,20.38455036461738
116,KDE,15.85336392387282
116,TAIL,2.23269448104179
117,EMP,32.61697633146487
117,KDE,44.85672303342472
117,TAIL,27.383923249880382
118,EMP,0.9420966963421
118,KDE,5.22667165825627
118,TAIL,2.34841530142454
119,EMP,21.29437369336112
119,KDE,28.76078473728861
119,TAIL,20.14771268470987
120,EMP,11.72299543077143
120,KDE,8.23136524761385
120,TAIL,10.68639117381014
121,EMP,7.680120166860389
121,KDE,0.84673870749769
121,TAIL,2.4971047181356303
122,EMP,7.44588649570553
122,KDE,2.65384775991004
122,TAIL,1.2106667454555802
123,EMP,27.72716191512597
123,KDE,24.56585615950662
123,TAIL,18.62375436887466
124,EMP,31.94471937462237
124,KDE,28.697394746754988
124,TAIL,23.706087020493293
125,EMP,24.05906657624218
125,KDE,15.55356984279476
125,TAIL,7.71180994298125
126,EMP,18.30845242687223
126,KDE,13.94853343169829
126,TAIL,8.32105994520127
127,EMP,1.60001055029206
127,KDE,7.183999352042631
127,TAIL,5.78782462347211
128,EMP,12.51165703287421
128,KDE,5.94885477844882
128,TAIL,11.34594434300394
129,EMP,19.52613406952259
129,KDE,12.26190314258183
129,TAIL,12.821497228920888
130,EMP,5.50482787770572
130,KDE,11.20549409939974
130,TAIL,5.36004389062546
131,EMP,34.50938363582548
131,KDE,31.282837325214103
131,TAIL,27.75855496125868
132,EMP,24.98232684545404
132,KDE,20.66281870726219
132,TAIL,0.73366673556674
133,EMP,21.60059183717435
133,KDE,16.77179019400414
133,TAIL,14.25080919191308
