analysis_variant,factory,method,crps
ROBUST_SLIDING_ALL,Forge_1,K-GTAIL,0.0315022383499281
ROBUST_SLIDING_ALL,Forge_1,K-KDE,0.0331884913713136
ROBUST_SLIDING_ALL,Forge_1,K-POINT,0.0429086361878268
ROBUST_SLIDING_ALL,Forge_1,K-UGPD,0.0313531219660311
ROBUST_SLIDING_ALL,Forge_2,K-EMP,0.0180460866328015
ROBUST_SLIDING_ALL,Forge_2,K-GEV,0.0182100680479742
ROBUST_SLIDING_ALL,Forge_2,K-GTAIL,0.0151976129344585
ROBUST_SLIDING_ALL,Forge_2,K-KDE,0.0173420051540372
ROBUST_SLIDING_ALL,Forge_2,K-POINT,0.024470116692457
ROBUST_SLIDING_ALL,Forge_2,K-UGPD,0.0178747710605494
ROBUST_SLIDING_ALL,Metal_1,K-EMP,0.0022012381487603
ROBUST_SLIDING_ALL,Metal_1,K-GEV,0.0021465802607467
ROBUST_SLIDING_ALL,Metal_1,K-GTAIL,0.0137192535232503
ROBUST_SLIDING_ALL,Metal_1,K-KDE,0.0019575514399682
ROBUST_SLIDING_ALL,Metal_1,K-POINT,0.0019548599677876
ROBUST_SLIDING_ALL,Metal_1,K-UGPD,0.0016696317066368
ROBUST_SLIDING_ALL,Metal_3,K-EMP,0.0089374017259117
ROBUST_SLIDING_ALL,Metal_3,K-GEV,0.0090401175123952
ROBUST_SLIDING_ALL,Metal_3,K-GTAIL,0.0089326385476941
ROBUST_SLIDING_ALL,Metal_3,K-KDE,0.0083196788961686
ROBUST_SLIDING_ALL,Metal_3,K-POINT,0.0116422677603252
ROBUST_SLIDING_ALL,Metal_3,K-UGPD,0.0063437524079914
ROBUST_SLIDING_ALL,Paper,K-EMP,0.0072291180819984
ROBUST_SLIDING_ALL,Paper,K-GEV,0.0073105890666294
ROBUST_SLIDING_ALL,Paper,K-GTAIL,0.0064005191476521
ROBUST_SLIDING_ALL,Paper,K-KDE,0.0068631968729485
ROBUST_SLIDING_ALL,Paper,K-POINT,0.0096526514168239
ROBUST_SLIDING_ALL,Paper,K-UGPD,0.0071928441494889
ROBUST_SLIDING_ALL,Steel_2,K-EMP,0.051680032809996
ROBUST_SLIDING_ALL,Steel_2,K-GEV,0.0506697885430405
ROBUST_SLIDING_ALL,Steel_2,K-GTAIL,0.0466225793775867
ROBUST_SLIDING_ALL,Steel_2,K-KDE,0.0447081123947911
ROBUST_SLIDING_ALL,Steel_2,K-POINT,0.0633917735044923
ROBUST_SLIDING_ALL,Steel_2,K-UGPD,0.0455327693600003
