file,role,category,rows,columns,bytes,sha256,provenance,notes
derived/crossed_region_contrasts.csv,Existing figure-source data; descriptive summaries or synthetic history records,aggregate_or_design,36,5,2989,14375af1c162cd92a69074342c64bb4408b07e1a7e94060809d222ce8230ae7e,V1.4 narrative figure-source snapshot/data/derived/crossed_region_contrasts.csv,
derived/external_factory_scores.csv,Existing figure-source data; descriptive summaries or synthetic history records,derived_external_summary,56,8,7684,ac1b633784da7021d69dd0f087169507e250cf73838fe3983d46eaa9029bac25,V1.4 narrative figure-source snapshot/data/derived/external_factory_scores.csv,"Legacy method-specific exceedance-loss fields are retained for provenance; final cross-method comparisons use CRPS, qwCRPS and pinball losses, while Table S7 reports exceedance counts."
derived/external_fit_status.csv,Existing figure-source data; descriptive summaries or synthetic history records,derived_external_summary,10,3,219,77107097b93dd2337dd0e22e2d763a38be0a23eeb22df48f0b69bad70b8da892,V1.4 narrative figure-source snapshot/data/derived/external_fit_status.csv,
derived/external_mean_scores.csv,Existing figure-source data; descriptive summaries or synthetic history records,derived_external_summary,7,7,964,827459ecd8f3570b015ce330748fed64c1741701fb6f905408458a0ff814b052,V1.4 narrative figure-source snapshot/data/derived/external_mean_scores.csv,"Legacy method-specific exceedance-loss fields are retained for provenance; final cross-method comparisons use CRPS, qwCRPS and pinball losses, while Table S7 reports exceedance counts."
derived/figure1_cell_plot.csv,Existing figure-source data; descriptive summaries or synthetic history records,aggregate_or_design,35,9,4683,80c43e4b51365ee3d9f0393cf344bda00ba579aea669094e454a3a58047fe940,V1.4 narrative figure-source snapshot/data/derived/figure1_cell_plot.csv,Historical plot helper retained alongside the final narrative plot sources; see README for the source map.
derived/figure2_crossed_plot.csv,Existing figure-source data; descriptive summaries or synthetic history records,aggregate_or_design,152,4,5917,cf6454bab0270eab78512167198ea2c64396465675131d0d6cc08a8cb75e73b5,V1.4 narrative figure-source snapshot/data/derived/figure2_crossed_plot.csv,Historical plot helper retained alongside the final narrative plot sources; see README for the source map.
derived/fit_level.csv,Existing figure-source data; descriptive summaries or synthetic history records,synthetic_history,5000,7,461544,b6cd2621169139e66e4ecc857e46543fe57da8245518c6b5af1a0be3e43952e3,V1.4 narrative figure-source snapshot/data/derived/fit_level.csv,
derived/frequency_histories.csv,Existing figure-source data; descriptive summaries or synthetic history records,synthetic_history,4000,7,316978,9881c4bf0a555f0b2fb1b685a44614b3f7b9b1ee611fdf0f00c3e4a73c7a423d,V1.4 narrative figure-source snapshot/data/derived/frequency_histories.csv,
derived/geometry_final.csv,Existing figure-source data; descriptive summaries or synthetic history records,aggregate_or_design,681,8,84806,67dc355f523332d328b42a054d6082b0d6dbfa4a71799b1789b90d4bffcad5a1,V1.4 narrative figure-source snapshot/data/derived/geometry_final.csv,
derived/joint_pairs.csv,Existing figure-source data; descriptive summaries or synthetic history records,synthetic_history,9000,5,638958,edfc995bde6593c9a364ecd60addefb8c35f148b72505ded8c04585b2ac7f08c,V1.4 narrative figure-source snapshot/data/derived/joint_pairs.csv,
derived/nearest_gap_contrasts.csv,Existing figure-source data; descriptive summaries or synthetic history records,aggregate_or_design,120,8,15355,936b7b86fc4780d53b6e6067bafcfbcd0e15752b9b7ae0d66ea096d179a82597,V1.4 narrative figure-source snapshot/data/derived/nearest_gap_contrasts.csv,
derived/primary_cell_atlas.csv,Existing figure-source data; descriptive summaries or synthetic history records,aggregate_or_design,45,10,4855,88736152d57cda313496ea4c3b5a8ba59ecb00fa67fe504ef426367e5151c412,V1.4 narrative figure-source snapshot/data/derived/primary_cell_atlas.csv,
derived/primary_decisions.csv,Existing figure-source data; descriptive summaries or synthetic history records,synthetic_history,45000,12,6803625,43c0fa9a73ddfd13ec072fb0fdcdd1c41a8da62dc1d1b91e73f00adb325e017b,V1.4 narrative figure-source snapshot/data/derived/primary_decisions.csv,
derived/primary_design.csv,Existing figure-source data; descriptive summaries or synthetic history records,aggregate_or_design,9,6,940,37ca83897243886be59f894094262c379b79ba3dff83d9106c4d648078c69cb8,V1.4 narrative figure-source snapshot/data/derived/primary_design.csv,
derived/primary_rows.csv.gz,Existing figure-source data; descriptive summaries or synthetic history records,synthetic_history,45000,19,1799530,3f4737b0b4685a3e1f86cfc48d7a1f7ea05fcafca95b55b4130a05ee988a9315,V1.4 narrative figure-source snapshot/data/derived/primary_rows.csv.gz,
derived/q99_endpoint_check.csv,Existing figure-source data; descriptive summaries or synthetic history records,synthetic_history,1000,4,60551,5e64819f039e2d3579f9b767471ab8791e40aa37e4fe329e7d9b326605eeb25c,V1.4 narrative figure-source snapshot/data/derived/q99_endpoint_check.csv,
derived/regime_histories.csv,Existing figure-source data; descriptive summaries or synthetic history records,synthetic_history,4000,7,394602,2c5e436cbeedca5c9c16b8989fa1f5af450b9d5689ea7c518fca4c89f01e86f6,V1.4 narrative figure-source snapshot/data/derived/regime_histories.csv,
derived/regional_contrasts.csv,Existing figure-source data; descriptive summaries or synthetic history records,aggregate_or_design,36,8,4868,d84b9a16b323bfe27c8b75a93ee0c239d7b6526677d6f2725b8b040e7ac21a5d,V1.4 narrative figure-source snapshot/data/derived/regional_contrasts.csv,
derived/regional_method_summary.csv,Existing figure-source data; descriptive summaries or synthetic history records,aggregate_or_design,15,8,1611,f1a5ed923469f618320a8a570213865de98de4d75aeda91d302fdd71f3f1ebe7,V1.4 narrative figure-source snapshot/data/derived/regional_method_summary.csv,
derived/regional_paired_differences.csv,Existing figure-source data; descriptive summaries or synthetic history records,synthetic_history,36000,5,2656157,6f1ce6e2c24ff9381f2f3161730f0f0d9f82cefe89c43cd56608b59ddfce4b48,V1.4 narrative figure-source snapshot/data/derived/regional_paired_differences.csv,
formal/tables/diagnostic_spearman_history_bootstrap.csv,History-cluster bootstrap intervals for diagnostic Spearman correlations,aggregate_or_design,20,9,2471,3c5c5d55244b85d2753e488e7835c8b15a62caa2049198b86232007107a56e43,Final V1.1 authoritative/02_Data/tables/diagnostic_spearman_history_bootstrap.csv,
supplementary/figure_s4_parameter_recovery.csv,Figure S4 frozen plotting source,frozen_synthetic_history_output,600,5,38929,0c6c4ab29c1acab86a695a21c45394fe14399f7c8970904a6df4ee3e36c8ffb4,V1.4 narrative inherited figure-source snapshot; matched frozen baseline manifest,Panel definitions and display transformations: FIGURE_SOURCE_MAP.csv
supplementary/figure_s5_clipping_sensitivity.csv,Figure S5 frozen plotting source,frozen_synthetic_history_output,3200,5,112136,3942154b3b426deb611a2d0c3be23a9b74e04fa2db12c479db2e99b91524537a,V1.4 narrative inherited figure-source snapshot; matched frozen baseline manifest,Panel definitions and display transformations: FIGURE_SOURCE_MAP.csv
supplementary/figure_s6_physical_misspecification.csv,Figure S6 frozen plotting source,frozen_synthetic_history_output,5200,5,268832,66d355eca89edf07cfc1d8a43d80ee2026bf2da8480b6121cb94f52a1a039549,V1.4 narrative inherited figure-source snapshot; matched frozen baseline manifest,Panel definitions and display transformations: FIGURE_SOURCE_MAP.csv
