distribution,replication_id,cell_id,solution_location,candidate_cost_cny,independent_cost_cny,grid_cost_cny,grid_points,excess_cost_cny,grid_excess_cny
GAUSSIAN,3,STRESS_CAPACITY_CLEAR,interior,4956688.817290067,4956688.817290067,4956688.83583218,10001,0.0,0.0185421127825975
EMP,3,STRESS_CAPACITY_CLEAR,interior,4891551.336797372,4891551.336797372,4891551.336797372,10001,0.0,0.0
GAUSSIAN,4,BASE_ACTUAL_NEAR,interior,6370094.647400899,6370094.647400899,6370094.66927208,10001,0.0,0.021871181204915
EMP,4,BASE_ACTUAL_NEAR,interior,6333589.518691493,6333589.518691493,6333590.729170661,10001,0.0,1.2104791682213545
GAUSSIAN,4,BASE_CAPACITY_NEAR,interior,6370094.647400899,6370094.647400899,6370094.662149786,10001,0.0,0.0147488871589303
EMP,4,BASE_CAPACITY_NEAR,interior,6333589.518691493,6333589.518691493,6333595.442645608,10001,0.0,5.923954114317894
GAUSSIAN,4,STRESS_ACTUAL_CLEAR,lower,5745197.539090865,5745197.539090865,5745197.539090865,10001,0.0,0.0
EMP,4,STRESS_ACTUAL_CLEAR,lower,5891963.401888024,5891963.401888024,5891963.401888024,10001,0.0,0.0
GAUSSIAN,4,STRESS_ACTUAL_NEAR,interior,5675329.710238478,5675329.710238479,5675329.710475389,10001,0.0,0.0002369107678532
EMP,4,STRESS_ACTUAL_NEAR,lower,5706846.235893592,5706846.235893592,5706846.235893592,10001,0.0,0.0
GAUSSIAN,4,STRESS_CONTRACT_NEAR_LOW,interior,5675329.710238478,5675329.710238477,5675329.7170833,10001,9.313225746154783e-10,0.0068448213860392
EMP,4,STRESS_CONTRACT_NEAR_LOW,lower,5701633.563489568,5701633.563489568,5701633.563489568,10001,0.0,0.0
GAUSSIAN,4,STRESS_CONTRACT_CLEAR,interior,5675329.710238478,5675329.710238478,5675329.710346856,10001,0.0,0.000108378008008
EMP,4,STRESS_CONTRACT_CLEAR,interior,5690343.958624159,5690343.958624158,5690343.958624158,10001,9.313225746154783e-10,-9.313225746154783e-10
GAUSSIAN,4,STRESS_CONTRACT_NEAR_HIGH,interior,5675329.710238478,5675329.710238478,5675329.711715321,10001,0.0,0.0014768429100513
EMP,4,STRESS_CONTRACT_NEAR_HIGH,interior,5690343.958624159,5690343.958624158,5690343.958624158,10001,9.313225746154783e-10,-9.313225746154783e-10
GAUSSIAN,4,STRESS_CAPACITY_NEAR,interior,5675329.710238478,5675329.710238479,5675329.717720902,10001,0.0,0.0074824234470725
EMP,4,STRESS_CAPACITY_NEAR,interior,5690343.958624159,5690343.958624158,5690343.958624158,10001,9.313225746154783e-10,-9.313225746154783e-10
GAUSSIAN,4,STRESS_CAPACITY_CLEAR,interior,5675329.710238478,5675329.710238477,5675329.71096267,10001,9.313225746154783e-10,0.0007241917774081
EMP,4,STRESS_CAPACITY_CLEAR,interior,5690343.958624159,5690343.958624158,5690343.958624158,10001,9.313225746154783e-10,-9.313225746154783e-10
GAUSSIAN,5,BASE_ACTUAL_NEAR,interior,5822012.69265398,5822012.692653981,5822012.722091503,10001,0.0,0.0294375233352184
EMP,5,BASE_ACTUAL_NEAR,interior,5776218.596991227,5776218.596991227,5776222.6819768,10001,0.0,4.084985572844744
GAUSSIAN,5,BASE_CAPACITY_NEAR,interior,5822012.69265398,5822012.69265398,5822012.692965194,10001,0.0,0.0003112135455012
EMP,5,BASE_CAPACITY_NEAR,interior,5776218.596991227,5776218.596991227,5776228.5465415735,10001,0.0,9.94955034647137
GAUSSIAN,5,STRESS_ACTUAL_CLEAR,lower,5442044.340050077,5442044.340050077,5442044.340050077,10001,0.0,0.0
EMP,5,STRESS_ACTUAL_CLEAR,lower,5563868.224937126,5563868.224937126,5563868.224937126,10001,0.0,0.0
GAUSSIAN,5,STRESS_ACTUAL_NEAR,lower,5175042.067852019,5175042.067852019,5175042.067852019,10001,0.0,0.0
EMP,5,STRESS_ACTUAL_NEAR,lower,5229850.1160369385,5229850.1160369385,5229850.1160369385,10001,0.0,0.0
GAUSSIAN,5,STRESS_CONTRACT_NEAR_LOW,lower,5169668.838550582,5169668.838550582,5169668.838550582,10001,0.0,0.0
EMP,5,STRESS_CONTRACT_NEAR_LOW,lower,5208999.426420842,5208999.426420842,5208999.426420842,10001,0.0,0.0
GAUSSIAN,5,STRESS_CONTRACT_CLEAR,interior,5167693.365070411,5167693.365070411,5167693.365076272,10001,0.0,5.860812962055206e-06
EMP,5,STRESS_CONTRACT_CLEAR,interior,5155965.4989397945,5155965.4989397945,5155965.4989397945,10001,0.0,0.0
GAUSSIAN,5,STRESS_CONTRACT_NEAR_HIGH,interior,5167693.365070411,5167693.365070411,5167693.389330031,10001,0.0,0.0242596203461289
EMP,5,STRESS_CONTRACT_NEAR_HIGH,interior,5155965.4989397945,5155965.4989397945,5155965.4989397945,10001,0.0,0.0
GAUSSIAN,5,STRESS_CAPACITY_NEAR,interior,5167693.365070411,5167693.365070411,5167693.373467109,10001,0.0,0.0083966981619596
EMP,5,STRESS_CAPACITY_NEAR,interior,5155965.4989397945,5155965.4989397945,5155965.4989397945,10001,0.0,0.0
GAUSSIAN,5,STRESS_CAPACITY_CLEAR,interior,5167693.365070411,5167693.365070411,5167693.368782096,10001,0.0,0.0037116846069693
EMP,5,STRESS_CAPACITY_CLEAR,interior,5155965.4989397945,5155965.498939794,5155965.4989397945,10001,9.313225746154783e-10,0.0
GAUSSIAN,6,BASE_ACTUAL_NEAR,interior,5808825.222219078,5808825.222219079,5808825.222267107,10001,0.0,4.802923649549484e-05
EMP,6,BASE_ACTUAL_NEAR,interior,5850665.216235623,5850665.216235623,5850672.681790332,10001,0.0,7.465554709546268
GAUSSIAN,6,BASE_CAPACITY_NEAR,interior,5808825.222219078,5808825.222219079,5808825.238495746,10001,0.0,0.0162766678258776
EMP,6,BASE_CAPACITY_NEAR,interior,5850665.216235623,5850665.216235623,5850667.42156181,10001,0.0,2.2053261874243617
GAUSSIAN,6,STRESS_ACTUAL_CLEAR,lower,5471457.979415388,5471457.979415388,5471457.979415388,10001,0.0,0.0
EMP,6,STRESS_ACTUAL_CLEAR,lower,5535724.615389711,5535724.615389711,5535724.615389711,10001,0.0,0.0
GAUSSIAN,6,STRESS_ACTUAL_NEAR,lower,5191652.104336776,5191652.104336776,5191652.104336776,10001,0.0,0.0
EMP,6,STRESS_ACTUAL_NEAR,lower,5291447.936136618,5291447.936136618,5291447.936136618,10001,0.0,0.0
