replication_id,method_id,q99_relative_error,mean_relative_error,stoploss_relative_error,regret_cny_per_month
11,TAIL,0.1364602046583558,0.0234352750449215,0.32182328898344303,8381.571337295696
12,EMP,0.0838508917600006,0.0179420233737832,0.2152821060530813,14817.900658757942
12,EVENT-EMP,0.0838508917600006,0.0162268257671092,0.171697743119111,13499.961548449368
12,GEV,0.11138116127663308,0.0179413925866792,0.2577835217485738,14817.900658757942
12,KDE,0.007454830701981601,0.0179420239431449,0.43049017353722635,14817.900658757942
12,TAIL,0.1237546348935972,0.0199762017983542,0.2685295269366607,14817.900658757942
13,EMP,0.1564004381765751,0.0274053894480739,0.2996119771731561,14817.900658757942
13,EVENT-EMP,0.1564004381765751,0.0240249085939898,0.21811882840672003,14817.900658757942
13,GEV,0.0985403513904249,0.0274051742360047,0.29268574053047347,14817.900658757942
13,KDE,0.05759701884279381,0.0274053938413566,0.5117782321187874,14817.900658757942
13,TAIL,0.0068332342229325,0.023239593518317,0.1368930609898046,14051.307577571417
14,EMP,0.1682334140741942,0.0663065881654711,0.5513756903664125,14817.900658757942
14,EVENT-EMP,0.1682334140741942,0.0380841567698859,0.4156862610273997,14817.900658757942
14,GEV,6.321324873189129e-05,0.0663065881654672,0.5557200250088687,14817.900658757942
14,KDE,0.082623699231007,0.0663065881753148,0.7233898672742132,14817.900658757942
14,TAIL,0.0705975063467804,0.0321782672110061,0.30651659891180205,14817.900658757942
15,EMP,0.0957778444196889,0.0447624404961842,0.42790302575076594,14817.900658757942
15,EVENT-EMP,0.0957778444196889,0.0130278394530942,0.2860539851165245,14817.900658757942
15,GEV,0.1159047050328541,0.0447623855566488,0.45048971837054197,14817.900658757942
15,KDE,0.0089180955332391,0.0447624408805682,0.6372269837207445,14817.900658757942
15,TAIL,0.0754310064470393,0.0070155798228933,0.1517808990685494,10036.11448167906
16,EMP,0.0101294845710985,0.0357529412227722,0.22711712654641575,35009.42461302349
16,EVENT-EMP,0.0101294845710985,0.0373063619078062,0.24543851021404434,17501.310746074032
16,GEV,0.0452099511384346,0.0357765544536725,0.1886525132748371,20597.092663138483
16,KDE,0.0372581891811767,0.0357529412091132,0.06905261007490525,28785.54529624184
16,TAIL,0.0748651320490904,0.0398396137247761,0.29636536504601946,14118.385098546743
17,EMP,0.0548337866037758,0.0084294296445483,0.34765934865828524,14817.900658757942
17,EVENT-EMP,0.0548337866037758,0.014712453385420602,0.28468483937819006,14817.900658757942
17,GEV,0.2704819471432049,0.0083593185833518,0.3996202147906066,14817.900658757942
17,KDE,0.1197636577995541,0.0084295734066717,0.6058470529360479,14817.900658757942
17,TAIL,0.0949790566154507,0.0129217973870466,0.21230190864152357,14817.900658757942
18,EMP,0.2031875999032668,0.0454681342677842,0.35949020164452233,22000.2158090466
18,EVENT-EMP,0.2031875999032668,0.0169078417247037,0.1657087886563015,11517.35034860267
18,GEV,0.0574204798471052,0.0454683787500052,0.33281775444906625,18852.93198903526
18,KDE,0.1492848926175215,0.0454681342677826,0.24940668548248304,12108.987292752912
18,TAIL,0.0836156611815851,0.0168304997647068,0.21363696158003903,8288.101045644842
19,EMP,0.0122372053427395,0.0185887634706039,0.15583212463496865,13499.961548449368
19,EVENT-EMP,0.0122372053427395,0.0176212268965005,0.20280327392388514,14817.900658757942
19,GEV,0.1703293216744242,0.0185162423604727,0.19722407352392105,14817.900658757942
19,KDE,0.057630289157676505,0.0185887642199171,0.40925754075798326,14817.900658757942
19,TAIL,0.0780397913192528,0.0211470044840802,0.22346247715013087,14817.900658757942
20,EMP,0.1980410212454492,0.0139067889941745,0.3584314275782983,8472.280913049666
20,EVENT-EMP,0.1980410212454492,0.0239811489971639,0.39517028222666467,8472.280913049666
20,GEV,0.1757869159970617,0.0139067889941772,0.32314575129169604,8030.769522429754
20,KDE,0.1636617982571952,0.013906788994174699,0.2402847066516437,9617.8367626369
20,TAIL,0.1375407876782739,0.0259711811868584,0.3443803323522241,8780.130263420753
21,EMP,0.1936782054807181,0.0541406309343199,0.3964562838519697,20403.587173913504
21,EVENT-EMP,0.1936782054807181,0.05663921232442751,0.42644756977467835,20403.587173913504
21,GEV,0.0843859572653322,0.0541406309343282,0.40015452868092427,19519.021280325327
21,KDE,0.12491658192615801,0.0541406309427026,0.5477466476616013,14817.900658757942
