replication_id,training_months,xi_bias,sigma_relative_bias,q99_relative_error
68,12,-0.1016253819667197,0.1869756796397193,-0.1434530689448523
68,24,-0.0175722201245397,0.0274731466048518,-0.0333051075295749
68,60,0.0255996217418679,0.0111586361026454,0.0772595713875884
69,12,0.040604979069258,-0.0077701021506199,0.1393111788203242
69,24,-0.0740484042134549,0.3886074317495198,0.0850405641238844
69,60,0.0142190156964475,0.0337676513799979,0.0902015411636889
70,12,-0.0319117248169423,0.205701312137322,0.0177430637803628
70,24,-0.0285661921086398,0.071746999452826,-0.0246932034856918
70,60,-0.0544618202793203,0.0094932951461881,-0.1142135097047431
71,12,-0.100387127060293,0.1122566810927672,-0.1416302947877953
71,24,0.0029216687692254,0.0210081480701234,0.0399952924922189
71,60,-0.0152748282246054,0.023053222996652,-0.05793484376033
72,12,-0.0821538523545393,0.0238945559790252,-0.1783566048933517
72,24,0.0351874218094132,-0.0008002684597699,0.1354721648488716
72,60,0.0384745639340032,-0.0537642292711293,0.0636231127152182
73,12,0.1382331268737918,-0.1893508360369181,0.369214678652247
73,24,0.0972697902299526,-0.0346402658126836,0.3438128055501686
73,60,0.0663731864474315,-0.0516381834808279,0.2210893628211091
74,12,0.0621264401825323,-0.0157332193734499,0.2039282470471193
74,24,-0.066071062042083,0.1984409428040447,-0.0583105242069982
74,60,0.0111102159927965,-0.0050630288173129,0.0097760875186339
75,12,0.0773737980382144,-0.0802337069399719,0.2409896387533971
75,24,0.0718389947585076,0.0898635423381908,0.3235316714544313
75,60,-0.0695280866759514,0.1696484100569464,-0.0776536120654174
76,12,0.0709552685194173,-0.0460250377206531,0.206855586930672
76,24,0.0035874079178782,-0.0207472689199772,-0.0242268412750926
76,60,0.0589574440514428,-0.0448539227133398,0.1618605529541631
77,12,-0.068971860838437,0.0187973745817849,-0.1695818413274327
77,24,-0.0263778051789008,-0.028187825895782,-0.0953187275000681
77,60,-0.0364645026753052,0.0823507065416009,-0.0550851655302643
78,12,-0.1468966961205613,0.1210394069594578,-0.2492576282608609
78,24,-0.0941346590980403,0.011879511715047,-0.2176298652500252
78,60,-0.011728099914273,-0.0525341188846605,-0.0730245726852839
79,12,-0.060228709507772,0.2065946508875935,-0.047873881938658
79,24,-0.2013494903714997,0.1525829003847303,-0.2367076290417143
79,60,-0.0400801487353652,0.0827142596171824,-0.0520334762028929
80,12,-0.0400660967015508,-0.0235057797005736,-0.1280721963884865
80,24,-0.0806215378574005,-0.0816569023579264,-0.2205318425923649
80,60,-0.0018190451362175,-0.0165841038263131,-0.0331206604487052
81,12,-0.0453575067043593,-0.0247836162721297,-0.1426659528541643
81,24,0.0202490520795143,-0.0569121803505905,0.0176782546173226
81,60,0.0339335299169069,-0.0589086815846091,0.1265662364613511
82,12,0.0168375330660247,-0.0314514021920737,0.0742213289620221
82,24,0.0390320291097077,-0.0655882125442723,0.0594679215634356
82,60,-0.0024522744836194,-0.0067584840761997,-0.0076939813892794
83,12,-0.0921594232999849,0.0272691124248979,-0.1847529402016756
83,24,-0.0651912250502628,0.0728259081414938,-0.1156679559510763
83,60,-0.0328788952518496,0.040039804036084,-0.0549062537368362
84,12,-0.1602928390529291,0.1950374731172266,-0.2245061943422037
84,24,-0.0017282864649171,0.0520575158647532,0.0469817726875482
84,60,-0.0676704853464033,0.0727560954755246,-0.1107531016575885
85,12,0.0233930663000653,0.0589471068816996,0.0870087307691831
85,24,0.0313165849766205,0.1591856634738335,0.2256378320078924
85,60,0.0621773471542001,0.0255660793427066,0.224821690385873
86,12,-0.0341277501606347,0.1172797404304791,-0.0236469029762773
86,24,0.0132507159606085,-0.0693147461640807,-0.0030091397231202
86,60,0.0752680540452199,-0.0849777225564062,0.1827119909173802
87,12,-0.1134085559876701,-0.0203813909645084,-0.2267848783924645
87,24,-0.0481201904998089,-0.0429784694185642,-0.1336654128067859
87,60,-0.0692331834109556,0.0549334237725293,-0.0976409988311413
88,12,9.975098944564607e-05,0.0013639523582794,0.0419556878733821
88,24,-0.0101489733678226,0.0400367637998888,0.0174197239034639
88,60,-0.0802543420927487,0.1960406439794564,-0.0522103841887476
89,12,-0.1755861430378319,0.2508025462795996,-0.2700340535407036
89,24,-0.0210727048888652,0.068621858577169,-0.0168487641783014
89,60,0.0350176007624601,-0.0467150152989172,0.1151382084543897
90,12,0.0818631290653547,-0.0376547362445699,0.2724805020160214
90,24,0.061005954926891,0.0329004449024635,0.2455091190649497
90,60,-0.0107032500659019,0.0304547994086975,-0.021744980850415
91,12,-0.034829244744133,-0.0103788270727799,-0.1215038363651146
91,24,-0.0433709610971503,0.040582544829444,-0.0943824538874189
91,60,-0.0810352069321101,0.1090398462883497,-0.1611490662906033
92,12,0.0859990588199689,-0.129110151569573,0.2133811961179938
92,24,0.0135438205953464,-0.0496424354822936,-0.0278644162750582
92,60,0.0485924102659413,-0.0985592373185216,0.0223662540219915
93,12,-0.0531365436773424,0.01902471908965,-0.1252750237130938
93,24,-0.0337945353324989,0.0537090059652342,-0.0577239454239549
93,60,0.0137618975484568,-0.0122295155749442,0.0057950525327416
94,12,-0.1165900418364311,0.1862172099194477,-0.1567782750218138
94,24,-0.0298019907170401,0.1001067103906176,-0.0341675542992697
94,60,-0.0345505903342748,0.0870700291253031,-0.0110955712423577
