replication_id,physical_scenario_id,training_months,method_id,regret_scaled
4,T5_HIGH_FREQ,12,TAIL-JOINT,1.1507575832915948
4,T5_HIGH_FREQ,24,DIAGNOSTIC-GATE,5.29281555362132e-05
4,T5_HIGH_FREQ,24,EMP-JOINT,0.3416085549245471
4,T5_HIGH_FREQ,24,KDE-MC-JOINT,5.29281555362132e-05
4,T5_HIGH_FREQ,24,TAIL-JOINT,1.3604296713997375
4,T6_CLUSTERED,12,DIAGNOSTIC-GATE,0.0009414768810997306
4,T6_CLUSTERED,12,EMP-JOINT,0.4146883824749664
4,T6_CLUSTERED,12,KDE-MC-JOINT,0.4088336199383892
4,T6_CLUSTERED,12,TAIL-JOINT,0.0009414768810997306
4,T6_CLUSTERED,12,TAIL-NODECLUSTER,0.001177803290242775
4,T6_CLUSTERED,24,DIAGNOSTIC-GATE,0.2906375566910907
4,T6_CLUSTERED,24,EMP-JOINT,0.1517224128792103
4,T6_CLUSTERED,24,KDE-MC-JOINT,0.04814320533708376
4,T6_CLUSTERED,24,TAIL-JOINT,0.2906375566910907
4,T6_CLUSTERED,24,TAIL-NODECLUSTER,0.3676691683424316
5,T4_HIGH_AMP,12,DIAGNOSTIC-GATE,0.08790761517225276
5,T4_HIGH_AMP,12,EMP-JOINT,0.057485417225686467
5,T4_HIGH_AMP,12,KDE-MC-JOINT,0.08790761517225276
5,T4_HIGH_AMP,12,TAIL-JOINT,6.052567734234026
5,T4_HIGH_AMP,24,DIAGNOSTIC-GATE,0.9642280325945748
5,T4_HIGH_AMP,24,EMP-JOINT,0.907825485425412
5,T4_HIGH_AMP,24,KDE-MC-JOINT,0.9642280325945748
5,T4_HIGH_AMP,24,TAIL-JOINT,0.26606208851647994
5,T5_HIGH_FREQ,12,DIAGNOSTIC-GATE,0.2799763990191634
5,T5_HIGH_FREQ,12,EMP-JOINT,0.06061078698112548
5,T5_HIGH_FREQ,12,KDE-MC-JOINT,0.0023847198523074434
5,T5_HIGH_FREQ,12,TAIL-JOINT,0.2799763990191634
5,T5_HIGH_FREQ,24,DIAGNOSTIC-GATE,0.0012633104788062728
5,T5_HIGH_FREQ,24,EMP-JOINT,1.0108290356062848e-05
5,T5_HIGH_FREQ,24,KDE-MC-JOINT,0.0012633104788062728
5,T5_HIGH_FREQ,24,TAIL-JOINT,0.024870276525864418
5,T6_CLUSTERED,12,DIAGNOSTIC-GATE,4.906568942871311
5,T6_CLUSTERED,12,EMP-JOINT,0.030826927760887753
5,T6_CLUSTERED,12,KDE-MC-JOINT,0.048569489518376585
5,T6_CLUSTERED,12,TAIL-JOINT,4.906568942871311
5,T6_CLUSTERED,12,TAIL-NODECLUSTER,0.7604386598209153
5,T6_CLUSTERED,24,DIAGNOSTIC-GATE,0.6133137084723883
5,T6_CLUSTERED,24,EMP-JOINT,0.43865426523893036
5,T6_CLUSTERED,24,KDE-MC-JOINT,0.43334337976271786
5,T6_CLUSTERED,24,TAIL-JOINT,0.6133137084723883
5,T6_CLUSTERED,24,TAIL-NODECLUSTER,0.5061766594288266
6,T4_HIGH_AMP,12,DIAGNOSTIC-GATE,0.3022104958905051
