policy_id,cell_id,alpha,utilization,oracle_mode,method_id,replications,action_accuracy,mean_regret_cny,se_regret_cny,median_regret_cny,p90_regret_cny,p95_regret_cny,mean_regret_over_oracle,median_regret_over_oracle,p95_regret_over_oracle
CONTRACT_ALPHA120,STRESS_ACTUAL_CLEAR,1.2,0.4,actual_maximum_demand,EMP,1000,0.991,2867.844952249023,952.113002784367,0.0,0.0,0.0,0.0005374045275716592,0.0,0.0
CONTRACT_ALPHA120,STRESS_ACTUAL_CLEAR,1.2,0.4,actual_maximum_demand,EVENT-EMP,1000,0.998,637.2988782775607,450.4127572777925,0.0,0.0,0.0,0.0001194232283492576,0.0,0.0
CONTRACT_ALPHA120,STRESS_ACTUAL_CLEAR,1.2,0.4,actual_maximum_demand,GEV,1000,0.994,1911.8966348326821,778.5728079349591,0.0,0.0,0.0,0.0003582696850477728,0.0,0.0
CONTRACT_ALPHA120,STRESS_ACTUAL_CLEAR,1.2,0.4,actual_maximum_demand,KDE,1000,0.998,637.2988782775607,450.4127572777923,0.0,0.0,0.0,0.0001194232283492576,0.0,0.0
CONTRACT_ALPHA120,STRESS_ACTUAL_CLEAR,1.2,0.4,actual_maximum_demand,TAIL,1000,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CONTRACT_ALPHA120,STRESS_ACTUAL_NEAR,1.2,0.45,actual_maximum_demand,EMP,1000,0.465,3314.3118745256443,195.62093357498347,4962.114262098447,4962.114262098447,4962.114262098447,0.000621067818104213,0.0009298489685393,0.0009298489685393
CONTRACT_ALPHA120,STRESS_ACTUAL_NEAR,1.2,0.45,actual_maximum_demand,EVENT-EMP,1000,0.474,3635.104452327113,373.1298859235023,4962.114262098447,4962.114262098447,4962.114262098447,0.0006811810343318539,0.0009298489685393,0.0009298489685393
CONTRACT_ALPHA120,STRESS_ACTUAL_NEAR,1.2,0.45,actual_maximum_demand,GEV,1000,0.506,2876.2344343872037,184.42803249079236,0.0,4962.114262098447,4962.114262098447,0.0005389766298854189,0.0,0.0009298489685393
CONTRACT_ALPHA120,STRESS_ACTUAL_NEAR,1.2,0.45,actual_maximum_demand,KDE,1000,0.713,1483.850935653848,81.01357236058857,0.0,4962.114262098447,4962.114262098447,0.0002780583414861391,0.0,0.0009298489685393
CONTRACT_ALPHA120,STRESS_ACTUAL_NEAR,1.2,0.45,actual_maximum_demand,TAIL,1000,0.524,2386.568035130339,82.95127724874474,0.0,4962.114262098447,4962.114262098447,0.0004472182034914182,0.0,0.0009298489685393
CONTRACT_ALPHA120,STRESS_CAPACITY_CLEAR,1.2,0.7,capacity,EMP,1000,0.93,39067.16828874449,4517.448249944837,0.0,0.0,524303.2031585614,0.008199277953805668,0.0,0.11003888643770043
CONTRACT_ALPHA120,STRESS_CAPACITY_CLEAR,1.2,0.7,capacity,EVENT-EMP,1000,0.935,35208.95089773252,4230.632094302033,0.0,0.0,519154.24307750794,0.0073895290474784,0.0,0.10895824105880893
CONTRACT_ALPHA120,STRESS_CAPACITY_CLEAR,1.2,0.7,capacity,GEV,1000,0.935,35750.760694274235,4296.274757657609,0.0,0.0,522680.70088704495,0.007503242155300969,0.0,0.10969836144734225
CONTRACT_ALPHA120,STRESS_CAPACITY_CLEAR,1.2,0.7,capacity,KDE,1000,0.969,16840.999055247543,2982.039078155765,0.0,0.0,0.0,0.0035345288210596043,0.0,0.0
CONTRACT_ALPHA120,STRESS_CAPACITY_CLEAR,1.2,0.7,capacity,TAIL,1000,0.941,32441.088340284994,4102.8253566870035,0.0,0.0,525173.1385112447,0.006808619925048299,0.0,0.1102214653670401
CONTRACT_ALPHA120,STRESS_CAPACITY_NEAR,1.2,0.635,capacity,EMP,1000,0.445,27126.02468049957,1060.474957172857,23963.61210421613,76796.78897083008,90648.53961176396,0.005164467082629102,0.00456238196900575,0.01725838579104086
CONTRACT_ALPHA120,STRESS_CAPACITY_NEAR,1.2,0.635,capacity,EVENT-EMP,1000,0.446,21297.50194373932,746.2100706214665,23916.778476075273,52539.628227009714,64756.21501651839,0.004054786833904969,0.00455346541253485,0.012328800286349313
CONTRACT_ALPHA120,STRESS_CAPACITY_NEAR,1.2,0.635,capacity,GEV,1000,0.457,22711.221420509653,843.2555425353515,23803.485187910963,62527.43277606499,84038.95076566935,0.004323941927135445,0.00453189574044695,0.0159999999999998
CONTRACT_ALPHA120,STRESS_CAPACITY_NEAR,1.2,0.635,capacity,KDE,1000,0.536,21338.812017406846,905.8679801488064,0.0,84038.95076566935,84038.95076566935,0.004062651772396688,0.0,0.0159999999999998
CONTRACT_ALPHA120,STRESS_CAPACITY_NEAR,1.2,0.635,capacity,TAIL,1000,0.452,19125.9376191932,655.275834082664,23848.46749183582,42526.34087577146,55652.319296614754,0.0036413472457594753,0.00454045982717385,0.01059552862848895
CONTRACT_ALPHA120,STRESS_CONTRACT_CLEAR,1.2,0.625,contracted_maximum_demand,EMP,1000,0.6,37724.19173107603,939.6468349649642,46997.346645919606,60408.2708125161,70072.45770208648,0.00715006183509785,0.00890765101077145,0.013281196561581258
CONTRACT_ALPHA120,STRESS_CONTRACT_CLEAR,1.2,0.625,contracted_maximum_demand,EVENT-EMP,1000,0.618,31822.885152636125,847.9219283164988,25967.740881373174,60408.2708125161,60408.2708125161,0.006031556573420989,0.00492180069339075,0.0114494930664087
CONTRACT_ALPHA120,STRESS_CONTRACT_CLEAR,1.2,0.625,contracted_maximum_demand,GEV,1000,0.576,34231.80324030432,856.1911175840779,36234.736753055826,60408.2708125161,60408.2708125161,0.006488131320079504,0.0068677577033259,0.0114494930664087
