tail_rate_per_month,replication_id,fit_status,xi_hat,count_model,survival_upper_limit,original_tail_integral,transformed_tail_integral,absolute_difference,relative_difference,original_integration_warning
1.0,92,PASS,0.8242964335493741,negative_binomial,1.0,19808.384889857272,19808.38488985728,7.275957614183426e-12,3.6731705561259665e-16,False
1.0,92,PASS,0.8242964335493741,negative_binomial,0.5,19366.122504815692,19366.122504815696,3.637978807091713e-12,1.878527209660618e-16,False
1.0,92,PASS,0.8242964335493741,negative_binomial,0.1,17051.050100417742,17051.050100417742,0.0,0.0,False
1.0,92,PASS,0.8242964335493741,negative_binomial,0.01,12076.82758519738,12076.827585197381,1.8189894035458565e-12,1.5061814791290053e-16,False
1.0,92,PASS,0.8242964335493741,negative_binomial,0.0001,5417.891645268931,5417.891645268931,0.0,0.0,False
1.0,102,PASS,0.6635470004855799,poisson,1.0,8130.448095190743,8130.4480951771075,1.363514456897974e-08,1.6770471208183419e-12,False
1.0,102,PASS,0.6635470004855799,poisson,0.5,7705.779129246258,7705.779129240857,5.400579539127648e-09,7.008479543144772e-13,False
1.0,102,PASS,0.6635470004855799,poisson,0.1,5879.0441671758535,5879.044167175227,6.266418495215476e-10,1.0658906987300922e-13,False
1.0,102,PASS,0.6635470004855799,poisson,0.01,2989.28046405494,2989.2804640549107,2.9103830456733704e-11,9.736065520347605e-15,False
1.0,102,PASS,0.6635470004855799,poisson,0.0001,642.6280979018885,642.6280979018885,0.0,0.0,False
1.0,106,PASS,0.769511036375521,negative_binomial,1.0,12657.506320208027,12657.506320208002,2.546585164964199e-11,2.0119169610040147e-15,False
1.0,106,PASS,0.769511036375521,negative_binomial,0.5,12254.742009890982,12254.742009890522,4.602043190971017e-10,3.7553162581936146e-14,False
1.0,106,PASS,0.769511036375521,negative_binomial,0.1,10307.000690955796,10307.000690955732,6.366462912410498e-11,6.176833691295851e-15,False
1.0,106,PASS,0.769511036375521,negative_binomial,0.01,6538.9207438062485,6538.920743806244,4.547473508864641e-12,6.954471061867619e-16,False
1.0,106,PASS,0.769511036375521,negative_binomial,0.0001,2284.0102363077385,2284.010236307738,4.547473508864641e-13,1.991003996644056e-16,False
1.0,126,PASS,0.6954867714413578,negative_binomial,1.0,9097.939471495702,9097.939471536376,4.0674422052688897e-08,4.470729023856671e-12,False
1.0,126,PASS,0.6954867714413578,negative_binomial,0.5,8675.618287581032,8675.6182875975,1.646731107030064e-08,1.8981138317071876e-12,False
1.0,126,PASS,0.6954867714413578,negative_binomial,0.1,6814.200887636746,6814.200887638765,2.0190782379359007e-09,2.9630447813750103e-13,False
1.0,126,PASS,0.6954867714413578,negative_binomial,0.01,3706.122561019851,3706.1225610199517,1.0049916454590857e-10,2.711706450373041e-14,False
1.0,126,PASS,0.6954867714413578,negative_binomial,0.0001,922.3769670554613,922.3769670554617,4.547473508864641e-13,4.930168110530459e-16,False
1.0,158,PASS,0.9948105474313178,poisson,1.0,856115.1797466011,856115.1797466005,6.984919309616089e-10,8.158854643464608e-16,False
1.0,158,PASS,0.9948105474313178,poisson,0.5,855669.9414732776,855669.941473277,5.820766091346741e-10,6.802583343438068e-16,False
1.0,158,PASS,0.9948105474313178,poisson,0.1,852777.5936703185,852777.5936703184,1.1641532182693481e-10,1.3651311044171345e-16,False
1.0,158,PASS,0.9948105474313178,poisson,0.01,844308.0911305017,844308.0911305017,0.0,0.0,False
1.0,158,PASS,0.9948105474313178,poisson,0.0001,824577.822026638,824577.822026638,0.0,0.0,False
1.0,180,PASS,0.7689473499024004,poisson,1.0,11612.187288757708,11612.187288757688,2.000888343900442e-11,1.7230934139665466e-15,False
