variant,measurement,factory,origin_id,train_months,test_month,train_month_count,normalization_kw,observed_normalized_max,method_id,fit_status,crps,qwcrps_090,draw_mean,draw_q95,draw_q99,q95_pinball,q99_pinball,q95_exceedance_brier,q99_exceedance_brier
all_observations,fixed_nonoverlapping_15min,Cement_2,O4_MAR_AUG_TO_SEP,"[""2019-03"", ""2019-04"", ""2019-05"", ""2019-06"", ""2019-07"", ""2019-08""]",2019-09,6,808.7644444444444,0.9629173719033698,K-GEV,PASS,0.02522455678922697,0.005689453905242628,1.1050799857670093,1.5879098808589285,3.52593033027611,0.031249625447777964,0.025630129583727422,0.0025000000000000005,0.0001
all_observations,fixed_nonoverlapping_15min,Cement_2,O4_MAR_AUG_TO_SEP,"[""2019-03"", ""2019-04"", ""2019-05"", ""2019-06"", ""2019-07"", ""2019-08""]",2019-09,6,808.7644444444444,0.9629173719033698,K-GTAIL,FALLBACK_EXPONENTIAL,0.014461960816049588,0.0006291000949456815,0.9478223377098279,1.0335210216705986,1.091017304181322,0.0035301824883614418,0.0012809993227795235,0.0025000000000000005,0.0001
all_observations,fixed_nonoverlapping_15min,Cement_2,O4_MAR_AUG_TO_SEP,"[""2019-03"", ""2019-04"", ""2019-05"", ""2019-06"", ""2019-07"", ""2019-08""]",2019-09,6,808.7644444444444,0.9629173719033698,K-KDE,PASS,0.02742688149997996,0.0021513360726524537,1.0001925421733007,1.1917863692770725,1.2549273958432714,0.011443449868685144,0.0029201002393990185,0.0025000000000000005,0.0001
all_observations,fixed_nonoverlapping_15min,Cement_2,O4_MAR_AUG_TO_SEP,"[""2019-03"", ""2019-04"", ""2019-05"", ""2019-06"", ""2019-07"", ""2019-08""]",2019-09,6,808.7644444444444,0.9629173719033698,K-POINT,PASS,0.0370826280966302,0.0003698992152638862,1.0,1.0,1.0,0.0018541314048315122,0.0003708262809663024,0.0025000000000000005,0.0001
all_observations,fixed_nonoverlapping_15min,Cement_2,O4_MAR_AUG_TO_SEP,"[""2019-03"", ""2019-04"", ""2019-05"", ""2019-06"", ""2019-07"", ""2019-08""]",2019-09,6,808.7644444444444,0.9629173719033698,K-UGPD,PASS,0.013752401888799101,0.0012087082852546968,0.9706491656529409,1.0952079974375346,1.1974038626557,0.0066145312767082465,0.002344864907523304,0.0025000000000000005,0.0001
all_observations,fixed_nonoverlapping_15min,Forge_1,O1_MAR_MAY_TO_JUN,"[""2019-03"", ""2019-04"", ""2019-05""]",2019-06,3,132.0533333333333,0.973182552504039,K-BLOCK,PASS,0.010682727616671953,0.0005221163166397411,0.9941374604200325,1.0255250403877223,1.0255250403877223,0.0026171243941841694,0.0005234248788368339,0.0025000000000000005,0.0001
all_observations,fixed_nonoverlapping_15min,Forge_1,O1_MAR_MAY_TO_JUN,"[""2019-03"", ""2019-04"", ""2019-05""]",2019-06,3,132.0533333333333,0.973182552504039,K-EMP,PASS,0.01663690021066227,0.0005221163166397411,0.9999367366720517,1.0255250403877223,1.0255250403877223,0.0026171243941841694,0.0005234248788368339,0.0025000000000000005,0.0001
all_observations,fixed_nonoverlapping_15min,Forge_1,O1_MAR_MAY_TO_JUN,"[""2019-03"", ""2019-04"", ""2019-05""]",2019-06,3,132.0533333333333,0.973182552504039,K-GEV,FALLBACK_EMPIRICAL,0.01665452726966069,0.0005221163166397411,0.9999710694668821,1.0255250403877223,1.0255250403877223,0.0026171243941841694,0.0005234248788368339,0.0025000000000000005,0.0001
all_observations,fixed_nonoverlapping_15min,Forge_1,O1_MAR_MAY_TO_JUN,"[""2019-03"", ""2019-04"", ""2019-05""]",2019-06,3,132.0533333333333,0.973182552504039,K-GTAIL,PASS,0.013901213127422249,0.0004766225590030037,0.9951505403781434,1.0227551346531305,1.032359951677558,0.0024786291074545795,0.0005917739917351899,0.0025000000000000005,0.0001
all_observations,fixed_nonoverlapping_15min,Forge_1,O1_MAR_MAY_TO_JUN,"[""2019-03"", ""2019-04"", ""2019-05""]",2019-06,3,132.0533333333333,0.973182552504039,K-KDE,PASS,0.015461428376129413,0.0007013433905140183,0.9999567651561116,1.0465853844560653,1.0629836569656281,0.003670141597601321,0.0008980110446158926,0.0025000000000000005,0.0001
all_observations,fixed_nonoverlapping_15min,Forge_1,O1_MAR_MAY_TO_JUN,"[""2019-03"", ""2019-04"", ""2019-05""]",2019-06,3,132.0533333333333,0.973182552504039,K-POINT,PASS,0.026817447495961304,0.0002675040387722135,1.0000000000000002,1.0000000000000002,1.0000000000000002,0.0013408723747980644,0.0002681744749596129,0.0025000000000000005,0.0001
all_observations,fixed_nonoverlapping_15min,Forge_1,O1_MAR_MAY_TO_JUN,"[""2019-03"", ""2019-04"", ""2019-05""]",2019-06,3,132.0533333333333,0.973182552504039,K-UGPD,PASS,0.014024237006343643,0.0004769646170437019,0.9952811892010076,1.022883002176981,1.0325327294001427,0.002485022483647106,0.0005935017689610384,0.0025000000000000005,0.0001
all_observations,fixed_nonoverlapping_15min,Forge_1,O2_MAR_JUN_TO_JUL,"[""2019-03"", ""2019-04"", ""2019-05"", ""2019-06""]",2019-07,4,131.168,0.9036350329348621,K-BLOCK,PASS,0.08050874275716022,0.0012848987557940957,0.9965288899731641,1.0324469382776287,1.0324469382776287,0.006440595267138333,0.0012881190534276665,0.0025000000000000005,0.0001
all_observations,fixed_nonoverlapping_15min,Forge_1,O2_MAR_JUN_TO_JUL,"[""2019-03"", ""2019-04"", ""2019-05"", ""2019-06""]",2019-07,4,131.168,0.9036350329348621,K-EMP,PASS,0.08548523586045369,0.0012848987557940957,0.9998857477433519,1.0324469382776287,1.0324469382776287,0.006440595267138333,0.0012881190534276665,0.0025000000000000005,0.0001
all_observations,fixed_nonoverlapping_15min,Forge_1,O2_MAR_JUN_TO_JUL,"[""2019-03"", ""2019-04"", ""2019-05"", ""2019-06""]",2019-07,4,131.168,0.9036350329348621,K-GEV,FALLBACK_EMPIRICAL,0.08559916521727248,0.0012848987557940957,1.0000315198828982,1.0324469382776287,1.0324469382776287,0.006440595267138333,0.0012881190534276665,0.0025000000000000005,0.0001
all_observations,fixed_nonoverlapping_15min,Forge_1,O2_MAR_JUN_TO_JUL,"[""2019-03"", ""2019-04"", ""2019-05"", ""2019-06""]",2019-07,4,131.168,0.9036350329348621,K-GTAIL,PASS,0.08393849345516483,0.0012437553017621765,0.9984796179432847,1.0305287626178485,1.0417502312783906,0.006344686484149325,0.001381151983435286,0.0025000000000000005,0.0001
all_observations,fixed_nonoverlapping_15min,Forge_1,O2_MAR_JUN_TO_JUL,"[""2019-03"", ""2019-04"", ""2019-05"", ""2019-06""]",2019-07,4,131.168,0.9036350329348621,K-KDE,PASS,0.08063636852010067,0.0014135963979300331,0.999937452585586,1.048562598312806,1.0651334341666243,0.007246378268897197,0.0016149840123176231,0.0025000000000000005,0.0001
all_observations,fixed_nonoverlapping_15min,Forge_1,O2_MAR_JUN_TO_JUL,"[""2019-03"", ""2019-04"", ""2019-05"", ""2019-06""]",2019-07,4,131.168,0.9036350329348621,K-POINT,PASS,0.09636496706513786,0.0009612405464747498,1.0,1.0,1.0,0.0048182483532568975,0.0009636496706513795,0.0025000000000000005,0.0001
