tail_rate_per_month,replication_id,method_id,q99_error,regret,accuracy,fit_status
0.2,6,EVENT-EMP,-0.0458945515618765,1.0495155848462984e-05,1.0,PASS
0.2,6,GEV,-0.1163051950600195,0.0013541155970943999,1.0,PASS_LMOM_FINITE_MEAN
0.2,6,KDE,-0.0191461448707336,0.009970339334457956,0.8571428571428571,PASS
0.2,6,TAIL,-0.2918457602904944,0.003672856479910514,1.0,PASS
0.2,7,EMP,0.0576894138010416,0.003118793792783195,0.8571428571428571,PASS
0.2,7,EVENT-EMP,0.0576894138010416,0.003118784063783302,0.8571428571428571,PASS
0.2,7,GEV,-0.0406150537436354,0.001668550942276057,1.0,PASS_LMOM_FINITE_MEAN
0.2,7,KDE,0.0947762412060886,0.012320251284628173,0.8571428571428571,PASS
0.2,7,TAIL,-0.3200218376369139,0.005908432466294857,1.0,FALLBACK_EXPONENTIAL
0.2,8,EMP,-0.2126820734876507,0.0001055150850048,1.0,PASS
0.2,8,EVENT-EMP,-0.2126820734876507,0.0001055150850048,1.0,PASS
0.2,8,GEV,-0.2385707231554851,2.520587483100246e-05,1.0,PASS_LMOM_FINITE_MEAN
0.2,8,KDE,-0.1996745223664824,0.002806682897985086,1.0,PASS
0.2,8,TAIL,-0.3269399151627328,0.003835146825807657,1.0,FALLBACK_EXPONENTIAL
0.2,9,EMP,-0.0329949710771002,2.765570549737242e-06,1.0,PASS
0.2,9,EVENT-EMP,-0.0329949710771002,4.569173444205448e-06,1.0,PASS
0.2,9,GEV,-0.2241404275840398,4.259904033539719e-06,1.0,PASS_LMOM_FINITE_MEAN
0.2,9,KDE,-0.0050107772660326,0.007655218031827857,0.8571428571428571,PASS
0.2,9,TAIL,-0.3218520778992086,0.005420761493027486,1.0,FALLBACK_EXPONENTIAL
0.2,10,EMP,-0.2964335533479765,7.593974682685714e-05,1.0,PASS
0.2,10,EVENT-EMP,-0.2964335533479765,0.00011903099936885714,1.0,PASS
0.2,10,GEV,-0.2838592399378775,1.6238374059103786e-05,1.0,PASS_LMOM_FINITE_MEAN
0.2,10,KDE,-0.2842397837287798,0.0011960148025058855,1.0,PASS
0.2,10,TAIL,-0.3298372954275713,0.003508264816459886,1.0,FALLBACK_EXPONENTIAL
0.2,11,EMP,-0.2201310741767111,6.102082731999357e-06,1.0,PASS
0.2,11,EVENT-EMP,-0.2201310741767111,8.394451238426405e-06,1.0,PASS
0.2,11,GEV,-0.2621028986385089,1.8033369216669691e-06,1.0,PASS_LMOM_FINITE_MEAN
0.2,11,KDE,-0.2071939276792328,0.002361138345033314,1.0,PASS
0.2,11,TAIL,-0.3261380133324316,0.004378967467905314,1.0,FALLBACK_EXPONENTIAL
0.2,12,EMP,-0.2056065270918605,2.9726694300659516e-05,1.0,PASS
0.2,12,EVENT-EMP,-0.2056065270918605,0.002945007199837616,0.8571428571428571,PASS
