cell_id,alpha,utilization,oracle_mode,method_id,mean_regret,p95_regret,accuracy,mean_cny
A110_U480,1.1,0.48,actual_maximum_demand,EVENT-EMP,0.0005877386748067872,0.0,0.991,3136.4517887531547
A110_U480,1.1,0.48,actual_maximum_demand,GEV,0.0005805605518509181,0.0,0.991,3098.1459267265873
A110_U480,1.1,0.48,actual_maximum_demand,KDE,0.00019480340869273142,0.0,0.997,1039.5632035791864
A110_U480,1.1,0.48,actual_maximum_demand,TAIL,0.000263934488559702,0.0,0.996,1408.4793705788757
A110_U500,1.1,0.5,actual_maximum_demand,EMP,0.0012620243526588804,0.0,0.981,6734.7593548241975
A110_U500,1.1,0.5,actual_maximum_demand,EVENT-EMP,0.0006645088643328198,0.0,0.99,3546.1338610465928
A110_U500,1.1,0.5,actual_maximum_demand,GEV,0.0007379843584535029,0.0,0.989,3938.2338790351937
A110_U500,1.1,0.5,actual_maximum_demand,KDE,0.00019480340869273142,0.0,0.997,1039.5632035791864
A110_U500,1.1,0.5,actual_maximum_demand,TAIL,0.000263934488559702,0.0,0.996,1408.4793705788757
A110_U520,1.1,0.52,actual_maximum_demand,EMP,0.001264767771706629,0.0,0.981,6749.39953752519
A110_U520,1.1,0.52,actual_maximum_demand,EVENT-EMP,0.0006645088643328198,0.0,0.99,3546.1338610465928
A110_U520,1.1,0.52,actual_maximum_demand,GEV,0.0007379843584535029,0.0,0.989,3938.2338790351937
A110_U520,1.1,0.52,actual_maximum_demand,KDE,0.00019480340869273142,0.0,0.997,1039.5632035791864
A110_U520,1.1,0.52,actual_maximum_demand,TAIL,0.000263934488559702,0.0,0.996,1408.4793705788757
A110_U540,1.1,0.54,actual_maximum_demand,EMP,0.0014221751791140362,0.0,0.98,7589.3999759653825
A110_U540,1.1,0.54,actual_maximum_demand,EVENT-EMP,0.0008219162717402271,0.0,0.989,4386.1342994867855
A110_U540,1.1,0.54,actual_maximum_demand,GEV,0.0008953917658609101,0.0,0.988,4778.234317475386
A110_U540,1.1,0.54,actual_maximum_demand,KDE,0.000509618223507546,0.0,0.995,2719.5640804595714
A110_U540,1.1,0.54,actual_maximum_demand,TAIL,0.000263934488559702,0.0,0.996,1408.4793705788757
A110_U560,1.1,0.56,actual_maximum_demand,EMP,0.0023094106288494847,0.0,0.972,12324.108329610413
A110_U560,1.1,0.56,actual_maximum_demand,EVENT-EMP,0.00136093743576139,0.0,0.984,7262.606389103408
A110_U560,1.1,0.56,actual_maximum_demand,GEV,0.00166655578702493,0.0,0.981,8893.530583110947
A110_U560,1.1,0.56,actual_maximum_demand,KDE,0.001239446265835587,0.0,0.988,6614.27199566441
A110_U560,1.1,0.56,actual_maximum_demand,TAIL,0.0007282202028454155,0.0,0.992,3886.1277226167526
A110_U580,1.1,0.58,actual_maximum_demand,EMP,0.005609595357913535,0.0775862068965519,0.925,29935.45626428823
A110_U580,1.1,0.58,actual_maximum_demand,EVENT-EMP,0.00353519851950524,0.0,0.953,18865.492769800745
A110_U580,1.1,0.58,actual_maximum_demand,GEV,0.004850053323970753,0.0775862068965519,0.936,25882.180424007358
A110_U580,1.1,0.58,actual_maximum_demand,KDE,0.00461721720179619,0.0775862068965519,0.94,24639.656657605854
A110_U580,1.1,0.58,actual_maximum_demand,TAIL,0.0030570379368355704,0.0,0.96,16313.8015520694
A110_U600,1.1,0.6,actual_maximum_demand,EMP,0.0079314344383733,0.0416666666666667,0.821,42325.888694992216
A110_U600,1.1,0.6,actual_maximum_demand,EVENT-EMP,0.0063311755309994906,0.0416666666666667,0.854,33786.149644893565
A110_U600,1.1,0.6,actual_maximum_demand,GEV,0.007404651025120175,0.0416666666666667,0.829,39514.72303650222
A110_U600,1.1,0.6,actual_maximum_demand,KDE,0.0068614700753594025,0.0416666666666667,0.837,36616.05236104622
A110_U600,1.1,0.6,actual_maximum_demand,TAIL,0.006180601155226373,0.0416666666666667,0.854,32982.61349783086
A110_U620,1.1,0.62,actual_maximum_demand,EMP,0.0044583161588033805,0.0080645161290322,0.585,23791.68547263433
A110_U620,1.1,0.62,actual_maximum_demand,EVENT-EMP,0.003551605638526348,0.0080645161290322,0.632,18953.048923594753
A110_U620,1.1,0.62,actual_maximum_demand,GEV,0.003923468229421222,0.0080645161290322,0.594,20937.48373855062
A110_U620,1.1,0.62,actual_maximum_demand,KDE,0.003388351795789483,0.0080645161290322,0.601,18081.849138688325
A110_U620,1.1,0.62,actual_maximum_demand,TAIL,0.0031429667466241974,0.0080645161290322,0.639,16772.358357533325
