factory,method_id,crps,qwcrps_090,q95_pinball,q99_pinball,q95_exceedance_brier,q99_exceedance_brier
Forge_1,K-UGPD,0.031992090637739376,0.00072052464156049999,0.0037243603919338499,0.00086392303411537508,0.0025000000000000001,0.0001
Forge_2,K-BLOCK,0.020398560864211875,0.0010472946567009751,0.0054430208743757504,0.0043381206158808992,0.22749999999999998,0.24509999999999998
Forge_2,K-EMP,0.019884171969705402,0.0010472946567009751,0.0054430208743757504,0.0043381206158808992,0.22749999999999998,0.24509999999999998
Forge_2,K-GEV,0.019903187750730925,0.0010004435493798499,0.0054438321399146745,0.001124686210624,0.22749999999999998,0.24509999999999998
Forge_2,K-GTAIL,0.018505686643859875,0.00067302893875350006,0.0036008633913455,0.00039005354615335319,0.22749999999999998,0.0001
Forge_2,K-KDE,0.018447319934356925,0.00071897175897867494,0.0037853193123701251,0.00054320617072193828,0.22749999999999998,0.0001
Forge_2,K-POINT,0.025571300301374451,0.0022943580531947635,0.012071601765552251,0.012008130797984707,0.22749999999999998,0.24509999999999998
Forge_2,K-UGPD,0.018899886126070777,0.00065559337288025,0.00351874703087605,0.00040256798410686419,0.22749999999999998,0.0001
Metal_1,K-BLOCK,0.0042970786332488251,0.00013317137313084715,0.00066752567985402505,0.00013350513597078291,0.0025000000000000001,0.0001
Metal_1,K-EMP,0.0045748072744487001,0.00013317137313084715,0.00066752567985402505,0.00013350513597078291,0.0025000000000000001,0.0001
Metal_1,K-GEV,0.004477058621390125,0.00013191316630524713,0.00067240701478957503,0.00014611030902473291,0.0025000000000000001,0.0001
Metal_1,K-GTAIL,0.018057721032432,0.00072833277498132504,0.003855524809812075,0.0010916344386073251,0.0025000000000000001,0.0001
Metal_1,K-KDE,0.0042663998002394751,0.000199424563604525,0.001062338791662425,0.00028156301851660001,0.0025000000000000001,0.0001
Metal_1,K-POINT,0.0049300598706231253,0.00038885927714184943,0.0020442903321912622,0.0020068912563583801,0.22749999999999998,0.24509999999999998
Metal_1,K-UGPD,0.0035837467499143,0.00013634502470436256,0.000742165255615775,0.00021409016009369999,0.0025000000000000001,0.0001
Metal_3,K-BLOCK,0.008273423392461076,0.00076783266740309045,0.00403862142760245,0.0039969712247674254,0.45249999999999996,0.49009999999999998
Metal_3,K-EMP,0.0085573932008920495,0.00076783266740309045,0.00403862142760245,0.0039969712247674254,0.45249999999999996,0.49009999999999998
Metal_3,K-GEV,0.0077351315780374505,0.00031975824195311549,0.0017052790431457,0.0017258613641228753,0.22749999999999998,0.24509999999999998
Metal_3,K-GTAIL,0.055745157364020928,0.0020795189131035501,0.01094397934460305,0.0052377691036136747,0.22749999999999998,0.24509999999999998
Metal_3,K-KDE,0.0079022977698341261,0.00044078896533772264,0.0023846564619939654,0.00095133992141565476,0.22749999999999998,0.24509999999999998
Metal_3,K-POINT,0.0099288745107073261,0.0016814294243137741,0.0088713335283141497,0.0092186131970217605,0.67749999999999999,0.73509999999999998
Metal_3,K-UGPD,0.0076656037518393,0.00046546467315695787,0.0024779034953595087,0.0015302533804282098,0.22749999999999998,0.24509999999999998
Paper,K-BLOCK,0.0078405338281309009,0.00023948673737079839,0.0012004347737886751,0.00024008695475772349,0.0025000000000000001,0.0001
Paper,K-EMP,0.007388452535225425,0.00023948673737079839,0.0012004347737886751,0.00024008695475772349,0.0025000000000000001,0.0001
Paper,K-GEV,0.0074974508862785246,0.00023789488904612339,0.0012112292162308001,0.00026451370011119847,0.0025000000000000001,0.0001
Paper,K-GTAIL,0.0076429423415871247,0.00041493722476724999,0.0022343944386531752,0.00068648450251332501,0.0025000000000000001,0.0001
Paper,K-KDE,0.0070238050847532506,0.00032755454759830001,0.001735083475142975,0.000449678787001525,0.0025000000000000001,0.0001
Paper,K-POINT,0.0105095551952378,0.00056583587766464896,0.0029653646055892748,0.0027618612285199812,0.22749999999999998,0.24509999999999998
Paper,K-UGPD,0.006099144668469325,0.00023419032010018085,0.0012605407991776001,0.00036767793290570002,0.0025000000000000001,0.0001
Steel_2,K-BLOCK,0.039707988433848526,0.0023949120520679501,0.0125102724661774,0.010997827540342377,0.22749999999999998,0.24509999999999998
Steel_2,K-EMP,0.045178534090208798,0.0023949120520679501,0.0125102724661774,0.010997827540342377,0.22749999999999998,0.24509999999999998
Steel_2,K-GEV,0.042480868636189072,0.0023830967636298719,0.012467923005742275,0.010996401652639275,0.22749999999999998,0.24509999999999998
Steel_2,K-GTAIL,0.036558665701605327,0.00109529976666305,0.0060388695942303755,0.0021065728926832252,0.0025000000000000001,0.0001
Steel_2,K-KDE,0.039208285274683674,0.0010115496293468999,0.0054915210133087752,0.0015757103552004751,0.0025000000000000001,0.0001
Steel_2,K-POINT,0.055526114945849775,0.0079309793098870998,0.041820090998524892,0.043069605089689378,0.45249999999999996,0.49009999999999998
Steel_2,K-UGPD,0.038023605032773494,0.0011818374424690252,0.006497465414533425,0.0022637723825131998,0.0025000000000000001,0.0001
