replication_id,EMP,EVENT-EMP,history_upper_endpoint_kw
508,231569.5843067276,231569.5843067276,231569.5843067276
509,252130.31492430667,252130.31492430667,252130.31492430667
510,211714.14921073601,211714.14921073601,211714.14921073601
511,227250.30585048479,227250.30585048479,227250.30585048479
512,196181.65661175089,196181.65661175089,196181.65661175092
513,219489.61689433284,219489.61689433284,219489.61689433284
514,252755.28083643541,252755.28083643541,252755.28083643541
515,248297.71215591559,248297.71215591559,248297.71215591559
516,341271.18129665282,341271.18129665282,341271.18129665282
517,183093.62052325011,183093.62052325011,183093.62052325011
518,255255.36342808188,255255.36342808188,255255.36342808188
519,213886.22994572896,213886.22994572896,213886.22994572896
520,184846.01515109651,184846.01515109651,184846.01515109648
521,221133.35540820772,221133.35540820772,221133.35540820775
522,229098.47866886307,229098.47866886307,229098.47866886307
523,216508.26383706051,216508.26383706051,216508.26383706051
524,311018.42871872871,311018.42871872871,311018.42871872871
525,211882.01678597232,211882.01678597232,211882.01678597232
526,327914.192818093,327914.192818093,327914.192818093
527,195677.62290320767,195677.62290320767,195677.62290320767
528,209414.27384498599,209414.27384498599,209414.27384498596
529,214449.12763526241,214449.12763526241,214449.12763526241
530,239945.43818766059,239945.43818766059,239945.43818766056
