replication_id,EMP,EVENT-EMP,history_upper_endpoint_kw
344,218210.38651274925,218210.38651274925,218210.38651274925
345,197318.10730785283,197318.10730785283,197318.10730785283
346,198042.01533755256,198042.01533755256,198042.01533755256
347,201842.93099334239,201842.93099334239,201842.93099334236
348,245284.89910705105,245284.89910705105,245284.89910705105
349,196686.38805271004,196686.38805271004,196686.38805271004
350,360683.31286986551,360683.31286986551,360683.31286986551
351,238415.00780905489,238415.00780905489,238415.00780905489
352,248407.12839321463,248407.12839321463,248407.12839321463
353,224120.92030618401,224120.92030618401,224120.92030618401
354,200106.76497440119,200106.76497440119,200106.76497440119
355,270646.44337523927,270646.44337523927,270646.44337523927
356,230321.83907612905,230321.83907612905,230321.83907612905
357,190630.12619722064,190630.12619722064,190630.12619722064
358,211726.40620894672,211726.40620894672,211726.40620894672
359,233311.95979092416,233311.95979092416,233311.95979092416
360,243989.88964902857,243989.88964902857,243989.88964902857
361,227949.32058526363,227949.32058526363,227949.32058526363
362,181503.09992288705,181503.09992288705,181503.09992288705
363,177490.51400746556,177490.51400746556,177490.51400746556
364,265736.94420355069,265736.94420355069,265736.94420355069
365,252413.10297593492,252413.10297593492,252413.10297593495
366,224674.91774269004,224674.91774269004,224674.91774269004
367,224697.68404569465,224697.68404569465,224697.68404569465
368,207404.45516503937,207404.45516503937,207404.45516503937
369,241165.8011232164,241165.8011232164,241165.8011232164
370,191454.0716694463,191454.0716694463,191454.0716694463
371,240947.7721950472,240947.7721950472,240947.7721950472
372,191447.47160158656,191447.47160158656,191447.47160158656
373,259497.82492251048,259497.82492251048,259497.82492251048
374,269002.57143827406,269002.57143827406,269002.57143827406
375,208600.32955485565,208600.32955485565,208600.32955485565
376,201545.56498814031,201545.56498814031,201545.56498814031
377,257364.725217667,257364.725217667,257364.725217667
378,240043.01282813199,240043.01282813199,240043.01282813199
379,173952.11153335715,173952.11153335715,173952.11153335715
380,219790.91035901173,219790.91035901173,219790.91035901173
381,203749.98419426192,203749.98419426192,203749.98419426192
382,176051.30638869712,176051.30638869712,176051.30638869712
383,234676.3284587411,234676.3284587411,234676.3284587411
384,300074.43513720355,300074.43513720355,300074.43513720355
385,200838.67460012549,200838.67460012549,200838.67460012549
386,197998.94492343249,197998.94492343249,197998.94492343249
387,268453.10462370323,268453.10462370323,268453.10462370323
388,197011.56236794303,197011.56236794303,197011.56236794303
389,198323.46518878965,198323.46518878965,198323.46518878965
390,299738.21570940962,299738.21570940962,299738.21570940962
391,187060.147711723,187060.147711723,187060.147711723
392,179257.81205124577,179257.81205124577,179257.81205124577
393,255164.66361424001,255164.66361424001,255164.66361424001
394,234896.98024006264,234896.98024006264,234896.98024006264
395,445766.70084999938,445766.70084999938,445766.70084999938
396,216609.39180917072,216609.39180917072,216609.39180917072
397,211309.34947945765,211309.34947945765,211309.34947945765
398,243174.75753289371,243174.75753289371,243174.75753289368
399,205277.93790314285,205277.93790314285,205277.93790314285
400,206709.82947970129,206709.82947970129,206709.82947970129
401,274834.60240234662,274834.60240234662,274834.60240234662
402,214195.43204486289,214195.43204486289,214195.43204486289
403,255786.93228175657,255786.93228175657,255786.93228175657
404,273377.69746100961,273377.69746100961,273377.69746100961
405,375618.66265697632,375618.66265697632,375618.66265697632
406,200688.1995036187,200688.1995036187,200688.1995036187
407,198452.78829352025,198452.78829352025,198452.78829352025
408,201835.17709007816,201835.17709007816,201835.17709007816
409,225590.42088433047,225590.42088433047,225590.42088433047
410,197661.960283066,197661.960283066,197661.960283066
411,346018.40680276381,346018.40680276381,346018.40680276381
412,204899.92030142352,204899.92030142352,204899.92030142352
413,319512.73261572613,319512.73261572613,319512.73261572613
414,197638.99711835521,197638.99711835521,197638.99711835521
415,231575.65873242999,231575.65873242999,231575.65873242999
416,219783.47837980129,219783.47837980129,219783.47837980129
417,408386.75424972182,408386.75424972182,408386.75424972177
418,340021.46285778179,340021.46285778179,340021.46285778173
419,229070.04927626127,229070.04927626127,229070.04927626127
420,249164.16571972039,249164.16571972039,249164.16571972039
421,232822.36658641748,232822.36658641748,232822.36658641748
422,312746.73730390926,312746.73730390926,312746.73730390926
423,332286.91204801307,332286.91204801307,332286.91204801307
424,176842.99940478645,176842.99940478645,176842.99940478645
425,220570.88463759329,220570.88463759329,220570.88463759329
426,221917.12125017439,221917.12125017439,221917.12125017439
427,195470.6580695984,195470.6580695984,195470.6580695984
428,223388.28800250319,223388.28800250319,223388.28800250319
429,335007.64379368228,335007.64379368228,335007.64379368228
430,214951.3869611384,214951.3869611384,214951.38696113837
431,199847.26439491881,199847.26439491881,199847.26439491881
432,263419.92451605207,263419.92451605207,263419.92451605207
433,250082.82307445284,250082.82307445284,250082.82307445284
434,241777.7144746164,241777.7144746164,241777.7144746164
435,233309.41264536488,233309.41264536488,233309.41264536488
436,193418.03130752392,193418.03130752392,193418.03130752392
437,213642.5527596162,213642.5527596162,213642.5527596162
438,243284.91819347229,243284.91819347229,243284.91819347229
439,198806.3669927257,198806.3669927257,198806.3669927257
440,354619.3529786882,354619.3529786882,354619.3529786882
441,190332.31634845704,190332.31634845704,190332.31634845704
442,193304.39533190409,193304.39533190409,193304.39533190409
443,284748.16129632265,284748.16129632265,284748.16129632265
444,309086.28860824986,309086.28860824986,309086.28860824986
445,272823.44422557129,272823.44422557129,272823.44422557129
446,326159.52060646622,326159.52060646622,326159.52060646622
447,240773.37073654091,240773.37073654091,240773.37073654091
448,203612.88037761199,203612.88037761199,203612.88037761199
449,368233.1739282108,368233.1739282108,368233.1739282108
450,247835.82474173585,247835.82474173585,247835.82474173585
451,182599.92429211052,182599.92429211052,182599.92429211055
452,259773.71080013204,259773.71080013204,259773.71080013204
453,306185.28910060867,306185.28910060867,306185.28910060867
454,248912.7758031156,248912.7758031156,248912.77580311557
455,240919.02668288985,240919.02668288985,240919.02668288985
456,182942.8524181456,182942.8524181456,182942.8524181456
457,306879.24190870312,306879.24190870312,306879.24190870312
458,247478.17873422621,247478.17873422621,247478.17873422621
459,195734.80597844321,195734.80597844321,195734.80597844321
460,197238.60940642623,197238.60940642623,197238.60940642623
461,240430.30664188068,240430.30664188068,240430.30664188068
462,204148.3666790303,204148.3666790303,204148.3666790303
463,287495.744792927,287495.744792927,287495.744792927
464,192828.21736455651,192828.21736455651,192828.21736455648
465,235337.03491391451,235337.03491391451,235337.03491391448
466,190056.49499349296,190056.49499349296,190056.49499349296
467,218387.23740696043,218387.23740696043,218387.23740696043
468,185711.49355468404,185711.49355468404,185711.49355468404
469,420606.901200958,420606.901200958,420606.901200958
470,218581.91067740851,218581.91067740851,218581.91067740851
471,188700.73978350853,188700.73978350853,188700.73978350853
472,237687.83755294909,237687.83755294909,237687.83755294909
473,254679.06617980736,254679.06617980736,254679.06617980736
474,260417.27672637932,260417.27672637932,260417.27672637935
475,395216.64681072411,395216.64681072411,395216.64681072411
476,225339.95829936201,225339.95829936201,225339.95829936201
477,460194.11866429652,460194.11866429652,460194.11866429646
478,209786.14631139691,209786.14631139691,209786.14631139688
479,244690.42505454607,244690.42505454607,244690.42505454607
480,176712.97961135145,176712.97961135145,176712.97961135145
481,252650.79784944217,252650.79784944217,252650.79784944217
482,203776.56824087439,203776.56824087439,203776.56824087436
483,225290.08803418925,225290.08803418925,225290.08803418925
484,192315.52978324657,192315.52978324657,192315.52978324657
485,535837.09670866537,535837.09670866537,535837.09670866537
486,273631.95732658531,273631.95732658531,273631.95732658525
487,182834.90763073711,182834.90763073711,182834.90763073711
488,361601.92594279762,361601.92594279762,361601.92594279762
489,209803.39942070004,209803.39942070004,209803.39942070004
