mode_pair,rank,side,oracle_mode,cell_id,contrast,relative_gap,estimate
actual_maximum_demand / contracted_maximum_demand,10,right,contracted_maximum_demand,A120_U480,GEV-minus-KDE,0.2617124506652086,-12330.644462617187
capacity / contracted_maximum_demand,1,left,capacity,A120_U640,TAIL-minus-KDE,0.065832084549287004,5054.0323060939481
capacity / contracted_maximum_demand,1,right,contracted_maximum_demand,A120_U500,TAIL-minus-KDE,0.065832084549287004,-18717.61627890652
capacity / contracted_maximum_demand,1,left,capacity,A120_U640,GEV-minus-KDE,0.065832084549287004,6745.6118904835384
capacity / contracted_maximum_demand,1,right,contracted_maximum_demand,A120_U500,GEV-minus-KDE,0.065832084549287004,-12824.146879265729
capacity / contracted_maximum_demand,2,left,capacity,A120_U640,TAIL-minus-KDE,0.065832084549287004,5054.0323060939481
capacity / contracted_maximum_demand,2,right,contracted_maximum_demand,A120_U520,TAIL-minus-KDE,0.065832084549287004,-16904.371717082475
capacity / contracted_maximum_demand,2,left,capacity,A120_U640,GEV-minus-KDE,0.065832084549287004,6745.6118904835384
capacity / contracted_maximum_demand,2,right,contracted_maximum_demand,A120_U520,GEV-minus-KDE,0.065832084549287004,-10021.304894589117
capacity / contracted_maximum_demand,3,left,capacity,A120_U640,TAIL-minus-KDE,0.065832084549287004,5054.0323060939481
capacity / contracted_maximum_demand,3,right,contracted_maximum_demand,A120_U540,TAIL-minus-KDE,0.065832084549287004,-18375.354048697329
capacity / contracted_maximum_demand,3,left,capacity,A120_U640,GEV-minus-KDE,0.065832084549287004,6745.6118904835384
capacity / contracted_maximum_demand,3,right,contracted_maximum_demand,A120_U540,GEV-minus-KDE,0.065832084549287004,-10187.944152661075
capacity / contracted_maximum_demand,4,left,capacity,A120_U640,TAIL-minus-KDE,0.065832084549287004,5054.0323060939481
capacity / contracted_maximum_demand,4,right,contracted_maximum_demand,A120_U560,TAIL-minus-KDE,0.065832084549287004,-19792.413611864289
capacity / contracted_maximum_demand,4,left,capacity,A120_U640,GEV-minus-KDE,0.065832084549287004,6745.6118904835384
capacity / contracted_maximum_demand,4,right,contracted_maximum_demand,A120_U560,GEV-minus-KDE,0.065832084549287004,-9966.0798056708518
capacity / contracted_maximum_demand,5,left,capacity,A120_U640,TAIL-minus-KDE,0.065832084549287004,5054.0323060939481
capacity / contracted_maximum_demand,5,right,contracted_maximum_demand,A120_U580,TAIL-minus-KDE,0.065832084549287004,-25804.161171616703
capacity / contracted_maximum_demand,5,left,capacity,A120_U640,GEV-minus-KDE,0.065832084549287004,6745.6118904835384
capacity / contracted_maximum_demand,5,right,contracted_maximum_demand,A120_U580,GEV-minus-KDE,0.065832084549287004,-12371.082018465873
capacity / contracted_maximum_demand,6,left,capacity,A120_U640,TAIL-minus-KDE,0.065832084549287004,5054.0323060939481
capacity / contracted_maximum_demand,6,right,contracted_maximum_demand,A120_U600,TAIL-minus-KDE,0.065832084549287004,-21238.321198220445
capacity / contracted_maximum_demand,6,left,capacity,A120_U640,GEV-minus-KDE,0.065832084549287004,6745.6118904835384
capacity / contracted_maximum_demand,6,right,contracted_maximum_demand,A120_U600,GEV-minus-KDE,0.065832084549287004,-11959.951341175518
capacity / contracted_maximum_demand,7,left,capacity,A120_U640,TAIL-minus-KDE,0.065832084549287004,5054.0323060939481
capacity / contracted_maximum_demand,7,right,contracted_maximum_demand,A120_U620,TAIL-minus-KDE,0.065832084549287004,-15673.212882116495
capacity / contracted_maximum_demand,7,left,capacity,A120_U640,GEV-minus-KDE,0.065832084549287004,6745.6118904835384
capacity / contracted_maximum_demand,7,right,contracted_maximum_demand,A120_U620,GEV-minus-KDE,0.065832084549287004,-9183.278732888677
capacity / contracted_maximum_demand,8,left,capacity,A120_U640,TAIL-minus-KDE,0.0985624184636094,5054.0323060939481
capacity / contracted_maximum_demand,8,right,contracted_maximum_demand,A120_U480,TAIL-minus-KDE,0.0985624184636094,-19384.963379708948
capacity / contracted_maximum_demand,8,left,capacity,A120_U640,GEV-minus-KDE,0.0985624184636094,6745.6118904835384
capacity / contracted_maximum_demand,8,right,contracted_maximum_demand,A120_U480,GEV-minus-KDE,0.0985624184636094,-12330.644462617187
capacity / contracted_maximum_demand,9,left,capacity,A105_U640,TAIL-minus-KDE,0.51701819268725346,0
capacity / contracted_maximum_demand,9,right,contracted_maximum_demand,A120_U500,TAIL-minus-KDE,0.51701819268725346,-18717.61627890652
capacity / contracted_maximum_demand,9,left,capacity,A105_U640,GEV-minus-KDE,0.51701819268725346,0
capacity / contracted_maximum_demand,9,right,contracted_maximum_demand,A120_U500,GEV-minus-KDE,0.51701819268725346,-12824.146879265729
capacity / contracted_maximum_demand,10,left,capacity,A105_U640,TAIL-minus-KDE,0.51701819268725346,0
capacity / contracted_maximum_demand,10,right,contracted_maximum_demand,A120_U520,TAIL-minus-KDE,0.51701819268725346,-16904.371717082475
capacity / contracted_maximum_demand,10,left,capacity,A105_U640,GEV-minus-KDE,0.51701819268725346,0
capacity / contracted_maximum_demand,10,right,contracted_maximum_demand,A120_U520,GEV-minus-KDE,0.51701819268725346,-10021.304894589117
