alpha,utilization,oracle_mode,oracle_margin_cny,oracle_best_value_cny,capacity,actual_maximum_demand,contracted_maximum_demand
1.2,0.4415,actual_maximum_demand,39490.10263844486,5336473.373620048,7554464.005690895,5336473.373620048,5375963.476258493
1.2,0.442,actual_maximum_demand,37250.758732998744,5336473.373620048,7545918.231928801,5336473.373620048,5373724.132353047
1.2,0.4425,actual_maximum_demand,35037.56506359298,5336473.373620048,7537391.770649786,5336473.373620048,5371510.938683641
1.2,0.443,actual_maximum_demand,32850.49914606102,5336473.373620048,7528884.556461694,5336473.373620048,5369323.872766109
1.2,0.4435,actual_maximum_demand,30689.538386645727,5336473.373620048,7520396.524267262,5336473.373620048,5367162.912006694
1.2,0.444,actual_maximum_demand,28554.660078110173,5336473.373620048,7511927.609262456,5336473.373620048,5365028.033698158
1.2,0.4445,actual_maximum_demand,26445.841395838186,5336473.373620048,7503477.7469348265,5336473.373620048,5362919.215015886
1.2,0.445,actual_maximum_demand,24363.05939395912,5336473.373620048,7495046.873061866,5336473.373620048,5360836.433014007
1.2,0.4455,actual_maximum_demand,22306.29100146331,5336473.373620048,7486634.923709384,5336473.373620048,5358779.6646215115
1.2,0.446,actual_maximum_demand,20275.51301833056,5336473.373620048,7478241.8352298895,5336473.373620048,5356748.886638379
1.2,0.4465,actual_maximum_demand,18270.702111674473,5336473.373620048,7469867.544260986,5336473.373620048,5354744.075731723
1.2,0.447,actual_maximum_demand,16291.83481187746,5336473.373620048,7461511.987723781,5336473.373620048,5352765.208431926
1.2,0.4475,actual_maximum_demand,14338.887508738786,5336473.373620048,7453175.102821297,5336473.373620048,5350812.261128787
1.2,0.448,actual_maximum_demand,12411.836447642185,5336473.373620048,7444856.827036898,5336473.373620048,5348885.21006769
1.2,0.4485,actual_maximum_demand,10510.65772571601,5336473.373620048,7436557.098132732,5336473.373620048,5346984.031345764
1.2,0.449,actual_maximum_demand,8635.32728800457,5336473.373620048,7428275.854148175,5336473.373620048,5345108.700908053
1.2,0.4495,actual_maximum_demand,6785.820923650637,5336473.373620048,7420013.033398287,5336473.373620048,5343259.194543699
1.2,0.45,actual_maximum_demand,4962.1142620984465,5336473.373620048,7411768.5744722895,5336473.373620048,5341435.487882147
1.2,0.4505,actual_maximum_demand,3164.1827692780644,5336473.373620048,7403542.416232032,5336473.373620048,5339637.556389326
1.2,0.45099999999999996,actual_maximum_demand,1392.0017438232899,5336473.373620048,7395334.4978104895,5336473.373620048,5337865.375363871
1.2,0.4515,contracted_maximum_demand,354.4536867151037,5336118.919933333,7387144.758610256,5336473.373620048,5336118.919933333
1.2,0.45199999999999996,contracted_maximum_demand,2075.208569632843,5334398.165050415,7378973.13830206,5336473.373620048,5334398.165050415
1.2,0.4525,contracted_maximum_demand,3770.288130841218,5332703.085489207,7370819.576823271,5336473.373620048,5332703.085489207
1.2,0.45299999999999996,contracted_maximum_demand,5439.717778614722,5331033.655841433,7362684.014376447,5336473.373620048,5331033.655841433
1.2,0.4535,contracted_maximum_demand,7083.523107334971,5329389.850512713,7354566.391427851,5336473.373620048,5329389.850512713
1.2,0.45399999999999996,contracted_maximum_demand,8701.729901213199,5327771.643718835,7346466.648706014,5336473.373620048,5327771.643718835
1.2,0.4545,contracted_maximum_demand,10294.364138017409,5326179.009482031,7338384.727200287,5336473.373620048,5326179.009482031
1.2,0.45499999999999996,contracted_maximum_demand,11861.451992778108,5324611.92162727,7330320.568159408,5336473.373620048,5324611.92162727
1.2,0.4555,contracted_maximum_demand,13403.019841474481,5323070.353778574,7322274.113090077,5336473.373620048,5323070.353778574
1.2,0.45599999999999996,contracted_maximum_demand,14919.094264727086,5321554.279355321,7314245.30375555,5336473.373620048,5321554.279355321
1.2,0.4565,contracted_maximum_demand,16409.702051467262,5320063.671568581,7306234.082174217,5336473.373620048,5320063.671568581
1.2,0.45699999999999996,contracted_maximum_demand,17874.870202594437,5318598.503417454,7298240.390618228,5336473.373620048,5318598.503417454
1.2,0.4575,contracted_maximum_demand,19314.62593461387,5317158.747685434,7290264.171612088,5336473.373620048,5317158.747685434
1.2,0.45799999999999996,contracted_maximum_demand,20728.996683280915,5315744.376936767,7282305.36793129,5336473.373620048,5315744.376936767
1.2,0.4585,contracted_maximum_demand,22118.010107209906,5314355.363512838,7274363.922600939,5336473.373620048,5314355.363512838
1.2,0.45899999999999996,contracted_maximum_demand,23481.694091481157,5312991.679528567,7266439.778894402,5336473.373620048,5312991.679528567
1.2,0.4595,contracted_maximum_demand,24820.076751225628,5311653.296868823,7258532.880331948,5336473.373620048,5311653.296868823
1.2,0.45999999999999996,contracted_maximum_demand,26133.186435214244,5310340.187184834,7250643.170679415,5336473.373620048,5310340.187184834
1.2,0.4605,contracted_maximum_demand,27421.05172939878,5309052.321890649,7242770.593946863,5336473.373620048,5309052.321890649
1.2,0.46099999999999997,contracted_maximum_demand,28683.701460463926,5307789.672159584,7234915.094387269,5336473.373620048,5307789.672159584
1.2,0.4615,contracted_maximum_demand,29921.164699364454,5306552.208920684,7227076.61649519,5336473.373620048,5306552.208920684
1.2,0.46199999999999997,contracted_maximum_demand,31133.470764822327,5305339.902855226,7219255.105005478,5336473.373620048,5305339.902855226
1.2,0.4625,contracted_maximum_demand,32320.649226834998,5304152.724393213,7211450.504891958,5336473.373620048,5304152.724393213
1.2,0.46299999999999997,contracted_maximum_demand,33482.72991015203,5302990.643709896,7203662.761366157,5336473.373620048,5302990.643709896
1.2,0.46349999999999997,contracted_maximum_demand,34619.74289773125,5301853.630722317,7195891.81987601,5336473.373620048,5301853.630722317
1.2,0.46399999999999997,contracted_maximum_demand,35731.718534187414,5300741.655085861,7188137.626104592,5336473.373620048,5300741.655085861
1.2,0.46449999999999997,contracted_maximum_demand,36818.68742922507,5299654.686190823,7180400.12596885,5336473.373620048,5299654.686190823
1.2,0.46499999999999997,contracted_maximum_demand,37880.68046103511,5298592.693159013,7172679.265618346,5336473.373620048,5298592.693159013
1.2,0.46549999999999997,contracted_maximum_demand,38917.72877969593,5297555.644840352,7164974.991434008,5336473.373620048,5297555.644840352
1.2,0.46599999999999997,contracted_maximum_demand,39929.86381053552,5296543.509809513,7157287.25002689,5336473.373620048,5296543.509809513
1.2,0.46649999999999997,contracted_maximum_demand,40917.117257490754,5295556.256362557,7149615.988236937,5336473.373620048,5295556.256362557
1.2,0.46699999999999997,contracted_maximum_demand,41879.52110643219,5294593.852513616,7141961.153131757,5336473.373620048,5294593.852513616
1.2,0.46749999999999997,contracted_maximum_demand,42817.10762847867,5293656.2659915695,7134322.692005414,5336473.373620048,5293656.2659915695
