scenario_id,replication_id,method_id,q99_error,regret,accuracy,fit_status
RATE_SHIFT_5_TO_30,185,TAIL,-0.003856920236407,0.0054585168003894215,0.4444444444444444,PASS
RATE_SHIFT_5_TO_30,186,EMP,-0.1367041050732697,0.0054585168003894215,0.4444444444444444,PASS
RATE_SHIFT_5_TO_30,186,EVENT-EMP,-0.1367041050732697,0.0016606824936996343,0.6666666666666666,PASS
RATE_SHIFT_5_TO_30,186,GEV,-0.0836667749995556,0.0054585168003894215,0.4444444444444444,PASS_LMOM_FINITE_MEAN
RATE_SHIFT_5_TO_30,186,KDE,-0.0868847893085753,0.0054585168003894215,0.4444444444444444,PASS
RATE_SHIFT_5_TO_30,186,TAIL,-0.0607649072586679,0.0054585168003894215,0.4444444444444444,PASS
RATE_SHIFT_5_TO_30,187,EMP,0.1711715036582527,0.0054585168003894215,0.4444444444444444,PASS
RATE_SHIFT_5_TO_30,187,EVENT-EMP,0.1711715036582527,0.0054585168003894215,0.4444444444444444,PASS
RATE_SHIFT_5_TO_30,187,GEV,0.4302137276941581,0.0054585168003894215,0.4444444444444444,PASS_LMOM_FINITE_MEAN
RATE_SHIFT_5_TO_30,187,KDE,0.2636661515872577,0.0054585168003894215,0.4444444444444444,PASS
RATE_SHIFT_5_TO_30,187,TAIL,0.1661989975600926,0.0054585168003894215,0.4444444444444444,PASS
RATE_SHIFT_5_TO_30,188,EMP,0.0685283346519701,0.018791850133722744,0.3333333333333333,PASS
RATE_SHIFT_5_TO_30,188,EVENT-EMP,0.0685283346519701,0.03408391090297685,0.5555555555555556,PASS
RATE_SHIFT_5_TO_30,188,GEV,-0.0136748554360704,0.018791850133722744,0.3333333333333333,PASS_LMOM_FINITE_MEAN
RATE_SHIFT_5_TO_30,188,KDE,0.1291954947461612,0.018791850133722744,0.3333333333333333,PASS
RATE_SHIFT_5_TO_30,188,TAIL,-0.171988144484569,0.03649077172468757,0.5555555555555556,PASS
RATE_SHIFT_5_TO_30,189,EMP,-0.2266188890626876,0.018791850133722744,0.3333333333333333,PASS
RATE_SHIFT_5_TO_30,189,EVENT-EMP,-0.2266188890626876,0.010119977445777854,0.6666666666666666,PASS
RATE_SHIFT_5_TO_30,189,GEV,-0.0571314791014807,0.018791850133722744,0.3333333333333333,PASS_LMOM_FINITE_MEAN
RATE_SHIFT_5_TO_30,189,KDE,-0.1417225582919765,0.018791850133722744,0.3333333333333333,PASS
RATE_SHIFT_5_TO_30,189,TAIL,-0.0887013864173635,0.018791850133722744,0.3333333333333333,PASS
RATE_SHIFT_5_TO_30,190,EMP,-0.2458957970444572,0.0021454690757252,0.6666666666666666,PASS
RATE_SHIFT_5_TO_30,190,EVENT-EMP,-0.2458957970444572,0.0019852964923549555,0.6666666666666666,PASS
RATE_SHIFT_5_TO_30,190,GEV,-0.2064836974208811,0.002008255609094089,0.6666666666666666,PASS_LMOM_FINITE_MEAN
RATE_SHIFT_5_TO_30,190,KDE,-0.1926375220083524,0.0054585168003894215,0.4444444444444444,PASS
RATE_SHIFT_5_TO_30,190,TAIL,-0.0991281782651384,0.0054585168003894215,0.4444444444444444,PASS
RATE_SHIFT_5_TO_30,191,EMP,-0.3484208900032988,0.02593821835727518,0.5555555555555556,PASS
RATE_SHIFT_5_TO_30,191,EVENT-EMP,-0.3484208900032988,0.025476130367370054,0.5555555555555556,PASS
RATE_SHIFT_5_TO_30,191,GEV,-0.2496818645127969,0.02761943020709779,0.5555555555555556,PASS_LMOM_FINITE_MEAN
RATE_SHIFT_5_TO_30,191,KDE,-0.2815255566808841,0.018791850133722744,0.3333333333333333,PASS
RATE_SHIFT_5_TO_30,191,TAIL,0.0833004579212446,0.0054585168003894215,0.4444444444444444,PASS
RATE_SHIFT_5_TO_30,192,EMP,-0.1383185210509911,0.018791850133722744,0.3333333333333333,PASS
RATE_SHIFT_5_TO_30,192,EVENT-EMP,-0.1383185210509911,0.0031586048898153557,0.6666666666666666,PASS
RATE_SHIFT_5_TO_30,192,GEV,-0.1755992831749788,0.018791850133722744,0.3333333333333333,PASS_LMOM_FINITE_MEAN
RATE_SHIFT_5_TO_30,192,KDE,-0.0903204965866092,0.018791850133722744,0.3333333333333333,PASS
RATE_SHIFT_5_TO_30,192,TAIL,0.2777094822809907,0.0054585168003894215,0.4444444444444444,PASS
RATE_SHIFT_5_TO_30,193,EMP,0.0748484412318562,0.0054585168003894215,0.4444444444444444,PASS
