replication_id,method_id,information_set,q99_relative_error,mean_relative_error,estimated_q99_kw,fit_status
523,GEV,monthly_maxima,-0.1191450237865405,-0.00076502022681269996,234010.58436083875,PASS_LMOM_FINITE_MEAN
523,KDE,monthly_maxima,-0.1397183725080538,-0.00076502022677460001,228545.00661355021,PASS
523,EMP,monthly_maxima,-0.18502668538215589,-0.00076502022681289999,216508.26383706051,PASS
524,TAIL,event_level,0.091273075657067895,0.048511971605020701,289910.89001905808,PASS
524,EVENT-EMP,event_level,0.17072538141497151,0.054183157643157398,311018.42871872871,PASS
524,GEV,monthly_maxima,0.28789245736691499,0.046350225809722798,342145.38678988424,PASS_LMOM_FINITE_MEAN
524,KDE,monthly_maxima,0.23609044390196449,0.046374704428490003,328383.50796834315,PASS
524,EMP,monthly_maxima,0.17072538141497151,0.046374429925492497,311018.42871872871,PASS
525,TAIL,event_level,0.060363465308568003,0.020619931423253499,281699.3498957206,PASS
525,EVENT-EMP,event_level,-0.20244065299081879,0.0111153823341673,211882.01678597232,PASS
525,GEV,monthly_maxima,-0.1194543240081645,0.0270667403477294,233928.41473296616,PASS_LMOM_FINITE_MEAN
525,KDE,monthly_maxima,-0.15564053685119381,0.0270667403477294,224315.07650831959,PASS
525,EMP,monthly_maxima,-0.20244065299081879,0.027066740347729198,211882.01678597232,PASS
526,TAIL,event_level,0.2274935843402664,0.0692504682788634,326099.64038057177,PASS
526,EVENT-EMP,event_level,0.2343238631866548,0.079718420821172406,327914.192818093,PASS
526,GEV,monthly_maxima,0.54101076178901286,0.080492934764795604,409389.55743062077,PASS_LMOM_FINITE_MEAN
526,KDE,monthly_maxima,0.31287588441527681,0.0809583370938321,348782.55921985162,PASS
526,EMP,monthly_maxima,0.2343238631866548,0.080945583370518201,327914.192818093,PASS
527,TAIL,event_level,-0.096157967006475595,-0.045433892926017301,240117.39505624119,PASS
527,EVENT-EMP,event_level,-0.26343670164025268,-0.059295641229538197,195677.62290320767,PASS
527,GEV,monthly_maxima,-0.18022260853669539,-0.0859923937702535,217784.52935213229,PASS_LMOM_FINITE_MEAN
527,KDE,monthly_maxima,-0.22649988052789441,-0.085992393770252501,205490.36998002056,PASS
527,EMP,monthly_maxima,-0.26343670164025268,-0.085992393770252695,195677.62290320767,PASS
528,TAIL,event_level,-0.1135571096693095,-0.0299477272530311,235495.086444885,PASS
528,EVENT-EMP,event_level,-0.21172965013392089,-0.034529787084410103,209414.27384498599,PASS
528,GEV,monthly_maxima,-0.1124121796587985,-0.0355462924403512,235799.25199772519,PASS_LMOM_FINITE_MEAN
528,KDE,monthly_maxima,-0.14999668904301339,-0.035546292430742497,225814.43810506439,PASS
528,EMP,monthly_maxima,-0.21172965013392089,-0.035546292430744697,209414.27384498599,PASS
529,TAIL,event_level,0.0212016245678802,0.0038942081045256999,271295.49740712019,PASS
