comparison_type,one_to_one_matching,mode_left,mode_right,pair_rank_within_mode_pair,method_id,cell_left,cell_right,relative_margin_gap,left_action_accuracy,left_absolute_regret_mean_cny,left_absolute_regret_p95_cny,left_regret_over_oracle_mean,left_regret_over_capacity_mean,left_d_mv_mean,right_action_accuracy,right_absolute_regret_mean_cny,right_absolute_regret_p95_cny,right_regret_over_oracle_mean,right_regret_over_capacity_mean,right_d_mv_mean
nearest_gap_descriptive,False,actual_maximum_demand,contracted_maximum_demand,3,EMP,A120_U440,A120_U520,0.232468361910305,0.618,17821.0502551227,46365.25905089639,0.0033394807783016403,0.002350994467924359,11.397776192848207,0.719,31237.28043088208,60408.2708125161,0.005920563871408569,0.004870148410552922,9.963036546718143
nearest_gap_descriptive,False,actual_maximum_demand,contracted_maximum_demand,3,EVENT-EMP,A120_U440,A120_U520,0.232468361910305,0.617,18262.382212368466,46365.25905089639,0.0034221818294166745,0.0024092160079093434,10.888592971196596,0.727,28626.036083011113,60408.2708125161,0.005425641178646221,0.0044630339839789425,9.571192280281515
nearest_gap_descriptive,False,actual_maximum_demand,contracted_maximum_demand,3,GEV,A120_U440,A120_U520,0.232468361910305,0.655,16133.704269866477,46365.25905089639,0.0030232895660307567,0.0021283958544856562,11.212615760763407,0.678,30341.743632653855,60408.2708125161,0.005750828134495146,0.0047305268732640675,9.82961423755676
nearest_gap_descriptive,False,actual_maximum_demand,contracted_maximum_demand,3,KDE,A120_U440,A120_U520,0.232468361910305,0.791,9690.339141637345,46365.25905089639,0.0018158694821827231,0.0012783721154566393,13.106658073779318,0.418,40363.04852724297,60408.2708125161,0.007650218058485374,0.006292930559847476,11.497564490054856
nearest_gap_descriptive,False,actual_maximum_demand,contracted_maximum_demand,3,TAIL,A120_U440,A120_U520,0.232468361910305,0.776,10385.818027400792,46365.25905089639,0.001946195043104928,0.001370121310345872,9.737404319204533,0.724,23458.676810160498,60408.2708125161,0.00444624475874592,0.003657400260354594,9.092994774144504
nearest_gap_descriptive,False,actual_maximum_demand,contracted_maximum_demand,4,EMP,A120_U440,A120_U540,0.232468361910305,0.618,17821.0502551227,46365.25905089639,0.0033394807783016403,0.002350994467924359,11.397776192848207,0.719,34550.40710585383,80503.46097176423,0.006548517964167727,0.00559387251644944,9.97048801191588
nearest_gap_descriptive,False,actual_maximum_demand,contracted_maximum_demand,4,EVENT-EMP,A120_U440,A120_U540,0.232468361910305,0.617,18262.382212368466,46365.25905089639,0.0034221818294166745,0.0024092160079093434,10.888592971196596,0.727,29963.866419890455,60408.2708125161,0.005679207105300055,0.004851290126314855,9.574897582962718
nearest_gap_descriptive,False,actual_maximum_demand,contracted_maximum_demand,4,GEV,A120_U440,A120_U540,0.232468361910305,0.655,16133.704269866477,46365.25905089639,0.0030232895660307567,0.0021283958544856562,11.212615760763407,0.678,31999.756356405218,60408.2708125161,0.006065079890575468,0.005180910229704502,9.833678824081561
nearest_gap_descriptive,False,actual_maximum_demand,contracted_maximum_demand,4,KDE,A120_U440,A120_U540,0.232468361910305,0.791,9690.339141637345,46365.25905089639,0.0018158694821827231,0.0012783721154566393,13.106658073779318,0.418,42187.70050906629,60408.2708125161,0.007996053817951718,0.006830386041091885,11.498316237115208
nearest_gap_descriptive,False,actual_maximum_demand,contracted_maximum_demand,4,TAIL,A120_U440,A120_U540,0.232468361910305,0.776,10385.818027400792,46365.25905089639,0.001946195043104928,0.001370121310345872,9.737404319204533,0.724,23812.346460368964,60408.2708125161,0.004513277602980588,0.0038553302717599836,9.094814330044231
