cell_id,policy_id,alpha,kappa,utilization,S_kva,oracle_mode,oracle_margin_cny,oracle_best_value_cny,oracle_contract_D_kw
A110_U560,CROSS_ALPHA110,1.1,2.0,0.56,264706.02051686746,actual_maximum_demand,334775.0757173365,5336473.373620048,130581.0027692116
A110_U580,CROSS_ALPHA110,1.1,2.0,0.58,255578.22670594105,actual_maximum_demand,334775.0757173365,5336473.373620048,130581.0027692116
A110_U600,CROSS_ALPHA110,1.1,2.0,0.6,247058.95248240966,actual_maximum_demand,222353.05723416898,5336473.373620048,130581.0027692116
A110_U620,CROSS_ALPHA110,1.1,2.0,0.62,239089.30885394482,actual_maximum_demand,43036.075593709946,5336473.373620048,130581.0027692116
A110_U640,CROSS_ALPHA110,1.1,2.0,0.64,231617.76795225905,capacity,125073.59469421953,5211399.778925829,130581.0027692116
A110_U660,CROSS_ALPHA110,1.1,2.0,0.66,224599.04771128148,capacity,282994.8001162149,5053478.573503833,130581.0027692116
A110_U680,CROSS_ALPHA110,1.1,2.0,0.68,217993.19336683204,capacity,431626.5228663273,4904846.850753721,130581.0027692116
A110_U700,CROSS_ALPHA110,1.1,2.0,0.7,211764.816413494,capacity,571765.0043164333,4764708.369303615,130581.0027692116
A110_U720,CROSS_ALPHA110,1.1,2.0,0.72,205882.46040200806,capacity,704118.0145748667,4632355.359045181,130581.0027692116
A110_U740,CROSS_ALPHA110,1.1,2.0,0.74,200318.06958033217,capacity,829316.8080625739,4507156.565557474,130581.0027692116
A110_U760,CROSS_ALPHA110,1.1,2.0,0.76,195046.5414334813,capacity,947926.1913667191,4388547.182253329,130581.0027692116
A115_U400,CROSS_ALPHA115,1.15,2.0,0.4,370588.4287236145,actual_maximum_demand,401276.6592780184,5336473.373620048,148235.3714894458
A115_U420,CROSS_ALPHA115,1.15,2.0,0.42,352941.3606891567,actual_maximum_demand,266396.9345859308,5336473.373620048,141176.5442756627
A115_U440,CROSS_ALPHA115,1.15,2.0,0.44,336898.57156692224,actual_maximum_demand,178305.8674325319,5336473.373620048,134759.4286267689
A115_U460,CROSS_ALPHA115,1.15,2.0,0.46,322250.8075857517,actual_maximum_demand,135058.7313822629,5336473.373620048,128900.32303430069
A115_U480,CROSS_ALPHA115,1.15,2.0,0.48,308823.6906030121,actual_maximum_demand,129460.8797199484,5336473.373620048,126042.45844184139
A115_U500,CROSS_ALPHA115,1.15,2.0,0.5,296470.7429788916,actual_maximum_demand,129460.8797199484,5336473.373620048,126042.45844184139
A115_U520,CROSS_ALPHA115,1.15,2.0,0.52,285068.02209508803,actual_maximum_demand,129460.8797199484,5336473.373620048,126042.45844184139
A115_U540,CROSS_ALPHA115,1.15,2.0,0.54,274509.9472026774,actual_maximum_demand,129460.8797199484,5336473.373620048,126042.45844184139
A115_U560,CROSS_ALPHA115,1.15,2.0,0.56,264706.02051686746,actual_maximum_demand,129460.8797199484,5336473.373620048,126042.45844184139
A115_U580,CROSS_ALPHA115,1.15,2.0,0.58,255578.22670594105,actual_maximum_demand,129460.8797199484,5336473.373620048,126042.45844184139
A115_U600,CROSS_ALPHA115,1.15,2.0,0.6,247058.95248240966,actual_maximum_demand,129460.8797199484,5336473.373620048,126042.45844184139
A115_U620,CROSS_ALPHA115,1.15,2.0,0.62,239089.30885394482,actual_maximum_demand,43036.075593709946,5336473.373620048,126042.45844184139
A115_U640,CROSS_ALPHA115,1.15,2.0,0.64,231617.76795225905,capacity,125073.59469421953,5211399.778925829,126042.45844184139
A115_U660,CROSS_ALPHA115,1.15,2.0,0.66,224599.04771128148,capacity,282994.8001162149,5053478.573503833,126042.45844184139
A115_U680,CROSS_ALPHA115,1.15,2.0,0.68,217993.19336683204,capacity,431626.5228663273,4904846.850753721,126042.45844184139
A115_U700,CROSS_ALPHA115,1.15,2.0,0.7,211764.816413494,capacity,571765.0043164333,4764708.369303615,126042.45844184139
A115_U720,CROSS_ALPHA115,1.15,2.0,0.72,205882.46040200806,capacity,704118.0145748667,4632355.359045181,126042.45844184139
A115_U740,CROSS_ALPHA115,1.15,2.0,0.74,200318.06958033217,capacity,829316.8080625739,4507156.565557474,126042.45844184139
A115_U760,CROSS_ALPHA115,1.15,2.0,0.76,195046.5414334813,capacity,947926.1913667191,4388547.182253329,126042.45844184139
A120_U400,CROSS_ALPHA120,1.2,2.0,0.4,370588.4287236145,actual_maximum_demand,318649.43913878035,5336473.373620048,148235.3714894458
A120_U420,CROSS_ALPHA120,1.2,2.0,0.42,352941.3606891567,actual_maximum_demand,160827.21526542958,5336473.373620048,141176.5442756627
A120_U440,CROSS_ALPHA120,1.2,2.0,0.44,336898.57156692224,actual_maximum_demand,46365.25905089639,5336473.373620048,134759.4286267689
A120_U460,CROSS_ALPHA120,1.2,2.0,0.46,322250.8075857517,contracted_maximum_demand,26133.186435214244,5310340.187184834,128900.32303430069
A120_U480,CROSS_ALPHA120,1.2,2.0,0.48,308823.6906030121,contracted_maximum_demand,58291.75316919014,5278181.620450858,123529.47624120484
A120_U500,CROSS_ALPHA120,1.2,2.0,0.5,296470.7429788916,contracted_maximum_demand,60408.2708125161,5276065.102807532,121825.7341727639
A120_U520,CROSS_ALPHA120,1.2,2.0,0.52,285068.02209508803,contracted_maximum_demand,60408.2708125161,5276065.102807532,121825.7341727639
A120_U540,CROSS_ALPHA120,1.2,2.0,0.54,274509.9472026774,contracted_maximum_demand,60408.2708125161,5276065.102807532,121825.7341727639
A120_U560,CROSS_ALPHA120,1.2,2.0,0.56,264706.02051686746,contracted_maximum_demand,60408.2708125161,5276065.102807532,121825.7341727639
A120_U580,CROSS_ALPHA120,1.2,2.0,0.58,255578.22670594105,contracted_maximum_demand,60408.2708125161,5276065.102807532,121825.7341727639
A120_U600,CROSS_ALPHA120,1.2,2.0,0.6,247058.95248240966,contracted_maximum_demand,60408.2708125161,5276065.102807532,121825.7341727639
A120_U620,CROSS_ALPHA120,1.2,2.0,0.62,239089.30885394482,contracted_maximum_demand,60408.2708125161,5276065.102807532,121825.7341727639
A120_U640,CROSS_ALPHA120,1.2,2.0,0.64,231617.76795225905,capacity,64665.32388170343,5211399.778925829,121825.7341727639
A120_U660,CROSS_ALPHA120,1.2,2.0,0.66,224599.04771128148,capacity,222586.5293036988,5053478.573503833,121825.7341727639
A120_U680,CROSS_ALPHA120,1.2,2.0,0.68,217993.19336683204,capacity,371218.2520538112,4904846.850753721,121825.7341727639
A120_U700,CROSS_ALPHA120,1.2,2.0,0.7,211764.816413494,capacity,511356.73350391723,4764708.369303615,121825.7341727639
A120_U720,CROSS_ALPHA120,1.2,2.0,0.72,205882.46040200806,capacity,643709.7437623506,4632355.359045181,121825.7341727639
A120_U740,CROSS_ALPHA120,1.2,2.0,0.74,200318.06958033217,capacity,768908.5372500578,4507156.565557474,121825.7341727639
A120_U760,CROSS_ALPHA120,1.2,2.0,0.76,195046.5414334813,capacity,887517.920554203,4388547.182253329,121825.7341727639
