prefix_replications,method_id,cell_id,metric,estimate,mcse,normal_ci95_low,normal_ci95_high,replications
400,EVENT-EMP,STRESS_CAPACITY_CLEAR,action_accuracy,0.9575,0.01009897759037653,0.937706003922862,0.9772939960771381,400
600,EVENT-EMP,STRESS_CAPACITY_CLEAR,action_accuracy,0.9433333333333334,0.009446762839168331,0.9248176781685634,0.9618489884981033,600
800,EVENT-EMP,STRESS_CAPACITY_CLEAR,action_accuracy,0.9375,0.008563518833897847,0.9207155030855603,0.9542844969144397,800
1000,EVENT-EMP,STRESS_CAPACITY_CLEAR,action_accuracy,0.935,0.007799733061832043,0.9197125231988093,0.9502874768011909,1000
100,EVENT-EMP,STRESS_CAPACITY_NEAR,action_accuracy,0.5,0.050251890762960605,0.4015062941045972,0.5984937058954027,100
200,EVENT-EMP,STRESS_CAPACITY_NEAR,action_accuracy,0.465,0.035357115664894155,0.39570005329680746,0.5342999467031926,200
400,EVENT-EMP,STRESS_CAPACITY_NEAR,action_accuracy,0.425,0.024748104405776173,0.3764937153646787,0.4735062846353213,400
600,EVENT-EMP,STRESS_CAPACITY_NEAR,action_accuracy,0.4166666666666667,0.020143705568969713,0.37718500375148606,0.4561483295818473,600
800,EVENT-EMP,STRESS_CAPACITY_NEAR,action_accuracy,0.44375,0.01757643552408068,0.40930018637280186,0.4781998136271981,800
1000,EVENT-EMP,STRESS_CAPACITY_NEAR,action_accuracy,0.446,0.015726771166750392,0.41517552851316925,0.47682447148683077,1000
100,EVENT-EMP,STRESS_CONTRACT_CLEAR,action_accuracy,0.58,0.04960449637488583,0.4827751871052237,0.6772248128947762,100
200,EVENT-EMP,STRESS_CONTRACT_CLEAR,action_accuracy,0.62,0.03440813273035824,0.5525600598484979,0.6874399401515021,200
400,EVENT-EMP,STRESS_CONTRACT_CLEAR,action_accuracy,0.635,0.02410165397458807,0.5877607582098074,0.6822392417901926,400
600,EVENT-EMP,STRESS_CONTRACT_CLEAR,action_accuracy,0.6366666666666667,0.019651480134827492,0.5981497656024048,0.6751835677309286,600
800,EVENT-EMP,STRESS_CONTRACT_CLEAR,action_accuracy,0.6175,0.017193362153100234,0.5838010101799236,0.6511989898200765,800
1000,EVENT-EMP,STRESS_CONTRACT_CLEAR,action_accuracy,0.618,0.015372453034968503,0.5878699920514617,0.6481300079485383,1000
100,EVENT-EMP,STRESS_CONTRACT_NEAR_HIGH,action_accuracy,0.57,0.04975698519562429,0.47247630901657633,0.6675236909834236,100
200,EVENT-EMP,STRESS_CONTRACT_NEAR_HIGH,action_accuracy,0.59,0.034865138597849225,0.5216643283482155,0.6583356716517844,200
400,EVENT-EMP,STRESS_CONTRACT_NEAR_HIGH,action_accuracy,0.6075,0.024445927747963395,0.5595859816139918,0.6554140183860083,400
600,EVENT-EMP,STRESS_CONTRACT_NEAR_HIGH,action_accuracy,0.61,0.01992892211237063,0.5709393126597535,0.6490606873402465,600
800,EVENT-EMP,STRESS_CONTRACT_NEAR_HIGH,action_accuracy,0.59375,0.01737501181782582,0.5596949768370614,0.6278050231629386,800
1000,EVENT-EMP,STRESS_CONTRACT_NEAR_HIGH,action_accuracy,0.593,0.015543249100255476,0.5625352317634993,0.6234647682365007,1000
100,EVENT-EMP,STRESS_CONTRACT_NEAR_LOW,action_accuracy,0.61,0.04902071300001973,0.5139194025199614,0.7060805974800386,100
200,EVENT-EMP,STRESS_CONTRACT_NEAR_LOW,action_accuracy,0.585,0.03492813871897355,0.5165408481108118,0.6534591518891881,200
400,EVENT-EMP,STRESS_CONTRACT_NEAR_LOW,action_accuracy,0.595,0.02457534065727376,0.5468323323117434,0.6431676676882565,400
600,EVENT-EMP,STRESS_CONTRACT_NEAR_LOW,action_accuracy,0.5783333333333334,0.020177173870254122,0.5387860725476353,0.6178805941190314,600
